,species,dband,location,abundance,m,COEF,abu.corr,species.fb
1,Abudefduf saxatilis,10,Roatan,191,m,2.225,424.975,Abudefduf saxatilis
2,Abudefduf saxatilis,20,Roatan,18,m,1.934782609,34.82608696,Abudefduf saxatilis
3,Acanthostracion polygonius,60,St. Eustatius,1,m,6.826086957,6.826086957,Acanthostracion polygonius
4,Acanthostracion polygonius,70,St. Eustatius,1,m,5.971062422,5.971062422,Acanthostracion polygonius
5,Acanthostracion quadricornis,60,Roatan,1,m,1.893617021,1.893617021,Acanthostracion quadricornis
6,Acanthostracion quadricornis,80,St. Eustatius,1,m,3.768327681,3.768327681,Acanthostracion quadricornis
7,Acanthurus chirurgus,10,Roatan,23,m,2.225,51.175,Acanthurus chirurgus
8,Acanthurus chirurgus,20,Roatan,3,m,1.934782609,5.804347827,Acanthurus chirurgus
9,Acanthurus chirurgus,30,Roatan,1,m,1.034883721,1.034883721,Acanthurus chirurgus
10,Acanthurus chirurgus,40,St. Eustatius,1,m,10.87650602,10.87650602,Acanthurus chirurgus
11,Acanthurus coeruleus,10,Roatan,163,m,2.225,362.675,Acanthurus coeruleus
12,Acanthurus coeruleus,20,Roatan,4,m,1.934782609,7.739130436,Acanthurus coeruleus
13,Acanthurus coeruleus,30,Roatan,3,m,1.034883721,3.104651163,Acanthurus coeruleus
14,Acanthurus coeruleus,40,Bonaire,1,m,1.139215137,1.139215137,Acanthurus coeruleus
15,Acanthurus coeruleus,40,Roatan,3,m,1.1125,3.3375,Acanthurus coeruleus
16,Acanthurus coeruleus,40,St. Eustatius,1,m,10.87650602,10.87650602,Acanthurus coeruleus
17,Acanthurus coeruleus,50,Bonaire,1,m,0.999995899,0.999995899,Acanthurus coeruleus
18,Acanthurus coeruleus,60,Roatan,1,m,1.893617021,1.893617021,Acanthurus coeruleus
19,Acanthurus tractus,30,Roatan,2,m,1.034883721,2.069767442,Acanthurus tractus
20,Acanthurus tractus,50,Bonaire,1,m,0.999995899,0.999995899,Acanthurus tractus
