,species,dband,location,hab,abundance,m,COEF,abu.corr,species.fb,lwa_m,lwa_sd,lwb_m,lwb_sd,maxTL,maxDepth,length,biomass
1,Abudefduf saxatilis,10,Roatan,shallow,191,m,2.225,424.975,Abudefduf saxatilis,0.01862,0.005484694,3.05,0.066326531,22.9,20,17.175,46214.4867
2,Abudefduf saxatilis,20,Roatan,shallow,18,m,1.934782609,34.82608696,Abudefduf saxatilis,0.01862,0.005484694,3.05,0.066326531,22.9,20,17.175,3787.210383
3,Acanthostracion polygonius,60,St. Eustatius,deep,1,m,6.826086957,6.826086957,Acanthostracion polygonius,0.02754,0.009346939,2.83,0.076530612,50,80,37.5,5353.579299
4,Acanthostracion polygonius,70,St. Eustatius,deep,1,m,5.971062422,5.971062422,Acanthostracion polygonius,0.02754,0.009346939,2.83,0.076530612,50,80,37.5,4682.998675
5,Acanthostracion quadricornis,60,Roatan,shallow,1,m,1.893617021,1.893617021,Acanthostracion quadricornis,0.03981,0.014438776,2.7,0.081632653,55,80,41.25,1733.520569
6,Acanthostracion quadricornis,80,St. Eustatius,deep,1,m,3.768327681,3.768327681,Acanthostracion quadricornis,0.03981,0.014438776,2.7,0.081632653,55,80,41.25,3449.73322
7,Acanthurus chirurgus,10,Roatan,shallow,23,m,2.225,51.175,Acanthurus chirurgus,0.02188,0.002530612,2.95,0.020408163,39,25,29.25,23668.81345
8,Acanthurus chirurgus,20,Roatan,shallow,3,m,1.934782609,5.804347827,Acanthurus chirurgus,0.02188,0.002530612,2.95,0.020408163,39,25,29.25,2684.553511
9,Acanthurus chirurgus,30,Roatan,shallow,1,m,1.034883721,1.034883721,Acanthurus chirurgus,0.02188,0.002530612,2.95,0.020408163,39,25,29.25,478.6413236
10,Acanthurus chirurgus,40,St. Eustatius,deep,1,m,10.87650602,10.87650602,Acanthurus chirurgus,0.02188,0.002530612,2.95,0.020408163,39,25,29.25,5030.463937
11,Acanthurus coeruleus,10,Roatan,shallow,163,m,2.225,362.675,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,201625.1419
12,Acanthurus coeruleus,20,Roatan,shallow,4,m,1.934782609,7.739130436,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,4302.483689
13,Acanthurus coeruleus,30,Roatan,shallow,3,m,1.034883721,3.104651163,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,1725.996364
14,Acanthurus coeruleus,40,Bonaire,deep,1,m,1.139215137,1.139215137,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,633.3340142
15,Acanthurus coeruleus,40,Roatan,shallow,3,m,1.1125,3.3375,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,1855.446091
16,Acanthurus coeruleus,40,St. Eustatius,deep,1,m,10.87650602,10.87650602,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,6046.672831
17,Acanthurus coeruleus,50,Bonaire,deep,1,m,0.999995899,0.999995899,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,555.9366237
18,Acanthurus coeruleus,60,Roatan,shallow,1,m,1.893617021,1.893617021,Acanthurus coeruleus,0.0263,0.008928571,2.95,0.071428571,39,40,29.25,1052.73537
19,Acanthurus tractus,30,Roatan,shallow,2,m,1.034883721,2.069767442,Acanthurus tractus,0.0195,0.005673469,2.91,0.066326531,35.24736842,NA,26.43552632,555.2941907
20,Acanthurus tractus,50,Bonaire,deep,1,m,0.999995899,0.999995899,Acanthurus tractus,0.0195,0.005673469,2.91,0.066326531,35.24736842,NA,26.43552632,268.2871042
