,Acanthurus coeruleus,Acanthurus tractus,Anisotremus surinamensis,Antilligobius nikkiae,Apogon gouldi,Apogon maculatus,Apogon pseudomaculatus,Baldwinella vivanus,Bathyanthias sp.,Bellator brachychir,Bellator egretta,Bodianus rufus,Bollmannia boqueronensis,Bollmannia eigenmanni,Bullisichthys caribbaeus,Canthigaster jamestyleri,Canthigaster rostrata,Carangoides bartholomaei,Carangoides ruber,Caranx latus,Caulolatilus dooleyi,Caulolatilus plumieri,Centropyge argi,Cephalopholis cruentata,Chaetodon sedentarius,Chaetodon striatus,Choranthias tenuis,Chrionema squamentum,Chromis cyanea,Chromis enchrysura,Chromis insolata,Chromis multilineata,Chromis scotti,Clepticus parrae,Corniger spinosus,Coryphopterus curasub,Decodon shallow,Equetus lanceolatus,Fistularia sp.,Flammeo marianus,Gnatholepis thompsoni,Gonioplectrus hispanus,Gramma loreto,Gymnothorax funebris,Gymnothorax moringa,Gymnothorax ocellatus,Haemulon chrysargyreum,Haemulon flavolineatum,Haemulon striatum,Halichoeres bathyphilus,Halichoeres garnoti,Hemanthias leptus,Holacanthus ciliaris,Holocentrus adscensionis,Hypoplectrus chlorurus,Hyporthodus niveatus,Jeboehlkia gladifer,Lactophrys triqueter,Liopropoma aberrans,Liopropoma carmabi,Liopropoma mowbrayi,Liopropoma olneyi,Lipogramma evides,Lipogramma klayi,Lipogramma levinsoni,Malacanthus plumieri,Mulloidichthys martinicus,Muraena retifera,Mycteroperca bonaci,Mycteroperca interstitialis,Myripristis jacobus,Neoniphon coruscum,Ocyurus chrysurus,Ogcocephalus parvus,Ostichthys trachypoma,Oxyurichthys stigmalophius,Palatogobius incendius,Paranthias furcifer,Paroncheilus affinis,Peristedion brevirostre,Physiculus fulvus,Pinnichthys aimoriensis,Plectranthias sp.,Pomacanthus arcuatus,Pomacanthus paru,Pontinus castor,Priolepis hipoliti,Pristigenys alta,Pristipomoides aquilonaris,Pristipomoides freemani,Prognathodes aculeatus,Prognathodes guyanensis,Pronotogrammus martinicensis,Psilotris laurae,Ptereleotris helenae,Rypticus maculatus,Rypticus saponaceous,Sargocentron bullisi,Scarus taeniopterus,Scarus vetula,Scorpaena brasiliensis,Scorpaenodes barrybrowni,Serranus atrobranchus,Serranus chionaraia,Serranus luciopercanus,Serranus notospilus,Serranus phoebe,Serranus tabacarius,Serranus tigrinus,Serranus tortugarum,Sparisoma viride,Sphyraena barracuda,Stegastes partitus,Syacium gunteri,Symphysanodon octoactinus,Synagrops bellus,Synagrops egretta,Varicus cephalocellatus,Varicus decorum,Xanthichthys ringens
100 m,0,0,0,1.174408968,0,0,0,0,0,0,0,0,1.660865091,0,0,0,1.174408968,0,0,0,0,0,0,0,1.174408968,0,0,0,0,2.348817937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.034136002,2.034136002,0,0,0,0,0,0,0,0,0,1.174408968,0,0,1.174408968,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068272004,0,3.107194068,0,1.660865091,0,0,0,0,0,0,0,1.174408968,1.660865091,2.348817937,0,0,0,0,0,0,0,0,0,0,0,0,1.174408968
110 m,0,0,0,10.77583275,1.077583275,0,1.077583275,0,0,0,0,0,1.523932882,0,0,0,0,0,0,0,0,0,0,2.851017362,0,0,11.99945951,0,0,8.885979324,0,0,0,0,1.866428981,0,1.523932882,2.409549454,0,1.077583275,0,0,0,0,0,0,7.695483832,0,0,1.523932882,0,0,0,0,0,0,0,0,0,0,0,1.866428981,0,1.077583275,1.523932882,0,0,0,0,0,0,0,0,0,0,0,7.695483832,1.077583275,17.00397726,0,0,0,0,0,0,1.077583275,1.866428981,0,0,0,1.523932882,1.077583275,9.577769647,0,4.697076598,0,1.866428981,1.523932882,0,0,0,0,0,0,1.523932882,1.077583275,3.573939403,0,0,0,0,0,0,0,0,0,0,0,0,0
120 m,0,0,0,6.005608656,0,1.061651651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061651651,0,0,0,0,0,1.501402164,0,0,4.979587637,0,0,0,0,2.373925261,0,2.373925261,2.123303303,0,0,0,0,0,0,1.061651651,0,0,0,1.8388346,0,0,0,0,1.501402164,0,0,0,0,1.061651651,0,0,2.123303303,0,0,3.184954954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.061651651,0,0,0,0,1.061651651,0,0,1.8388346,1.061651651,14.47899812,0,0,0,0,1.061651651,0,0,0,0,0,0,1.061651651,1.8388346,3.6776692,0,0,0,0,0,0,0,0,0,0,0,0,0
130 m,0,0,0,3.954706145,0,0,2.283250657,0,0,0,0,0,0,0,0,0,0,0,0,0,1.141625329,1.141625329,0,0,0,0,2.283250657,0,0,4.843506069,1.141625329,0,0,0,1.977353072,0,1.614502023,1.977353072,0,0,0,0,0,0,0,1.141625329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.283250657,0,0,4.11618866,0,0,1.614502023,0,0,0,0,0,0,0,0,0,0,1.141625329,0,0,0,0,0,0,0,0,0,0,0,1.141625329,1.141625329,7.991377301,0,0,0,1.614502023,0,0,0,0,0,0,0,0,2.55275184,6.252939447,0,0,0,0,0,0,0,0,0,0,1.614502023,0,0
140 m,0,0,0,1.168475907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86216975,0,0,0,0,1.168475907,0,3.304948951,1.168475907,0,0,0,0,0,0,0,1.168475907,1.652474475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.505427722,2.612791559,0,2.023859639,0,0,1.168475907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.612791559,0,1.652474475,0,0,0,2.612791559,11.91616291,1.168475907,0,0,1.168475907,0,0,0,0,1.168475907,1.168475907,0,0,4.212999798,4.52548773,0,0,0,0,0,0,0,0,0,0,0,1.168475907,0
150 m,0,0,0,0,0,0,0,2.884872869,0,0,0,0,0,0,0,1.090379454,0,0,0,1.090379454,0,0,0,0,0,0,1.090379454,0,0,1.090379454,0,0,0,0,3.271138361,0,1.542029412,1.090379454,0,0,0,3.616379527,0,0,1.090379454,0,0,0,0,0,0,1.888592613,0,0,0,0,1.090379454,0,0,0,0,3.93141903,1.090379454,0,1.090379454,0,0,0,0,0,0,0,0,0,1.090379454,0,1.090379454,0,0,0,1.090379454,0,0,0,1.542029412,2.180758907,0,1.090379454,0,0,0,1.542029412,8.516135775,0,0,0,0,0,0,0,0,1.090379454,0,0,0,2.884872869,2.43816258,0,0,0,0,0,0,0,2.670873288,0,0,0,0,0
160 m,0,0,0,0,0,0,0,0,0,0,1.10130713,0,0,0,0,0,0,0,0,0,1.10130713,0,0,0,0,0,0,2.202614259,0,0,0,0,0,0,1.10130713,0,1.10130713,0,0,0,0,1.557483479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.557483479,0,1.10130713,0,0,1.557483479,1.10130713,0,0,0,0,1.10130713,0,0,0,0,0,1.10130713,0,0,0,0,0,0,1.10130713,1.10130713,0,0,0,0,0,2.462597606,1.10130713,0,0,2.202614259,4.800486484,0,0,0,0,0,0,0,0,0,0,0,0,2.697640518,2.202614259,0,0,0,0,0,0,0,3.114966958,0,0,0,3.114966958,0
170 m,0,0,0,0,0,0,0,1.531426031,0,1.531426031,1.082881731,0,0,0,0,0,0,0,0,0,2.165763463,0,0,0,0,0,0,1.082881731,0,0,0,0,0,0,0,0,0,0,1.082881731,0,0,0,0,0,0,1.531426031,0,0,0,0,0,0,0,0,0,1.082881731,1.082881731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.531426031,0,0,0,0,1.082881731,1.531426031,0,0,0,0,0,0,0,0,0,0,0,3.904385607,0,0,0,0,0,0,0,0,0,0,0,0,3.062852062,2.421397163,0,0,0,0,0,0,1.082881731,0,0,0,0,0,0
180 m,0,0,0,0,0,0,0,1.857166249,0,0,2.626429698,0,0,0,0,0,0,0,0,0,1.313214849,1.313214849,0,0,0,0,2.626429698,2.274554839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.857166249,0,0,0,0,0,1.313214849,0,0,0,0,1.313214849,0,0,0,0,0,0,0,0,1.313214849,0,0,0,0,0,0,0,0,1.313214849,0,0,0,0,1.313214849,0,0,0,0,0,1.313214849,0,0,0,0,0,0,1.313214849,0,0,0,0,0,0,0,0,0,0,0,0,1.313214849,2.274554839,0,0,0,0,0,0,0,0,1.313214849,0,0,0,0
190 m,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.220261695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281868688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.281868688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
