"","sciname","Genus","Species","SpeciesRefNo","FamCode","DemersPelag","DepthRangeDeep","Length","LTypeMaxM","SpecCode"
"1","Abyssocottus elochini","Abyssocottus","elochini",26334,584,"bathydemersal",300,NA,NA,48039
"2","Abyssocottus gibbosus","Abyssocottus","gibbosus",26334,584,"bathydemersal",1600,14,"TL",48040
"3","Abyssocottus korotneffi","Abyssocottus","korotneffi",2058,584,"bathydemersal",1600,12.6,"TL",47208
"4","Asprocottus abyssalis","Asprocottus","abyssalis",26334,584,"bathydemersal",1400,NA,NA,48048
"5","Asprocottus herzensteini","Asprocottus","herzensteini",2058,584,"bathydemersal",887,11.5,"TL",48049
"6","Asprocottus intermedius","Asprocottus","intermedius",26334,584,"bathydemersal",800,NA,NA,61488
"7","Asprocottus korjakovi","Asprocottus","korjakovi",53210,584,"bathydemersal",125,NA,NA,60302
"8","Asprocottus minor","Asprocottus","minor",53210,584,"pelagic",NA,NA,NA,62234
"9","Asprocottus parmiferus","Asprocottus","parmiferus",26334,584,"bathydemersal",500,NA,NA,48051
"10","Asprocottus platycephalus","Asprocottus","platycephalus",26334,584,"bathydemersal",800,10.5,"TL",48054
"11","Asprocottus pulcher","Asprocottus","pulcher",26334,584,"bathydemersal",250,NA,NA,48055
"12","Cottinella boulengeri","Cottinella","boulengeri",26334,584,"bathypelagic",1600,12.2,"TL",48058
"13","Cyphocottus eurystomus","Cyphocottus","eurystomus",26334,584,"bathydemersal",600,NA,NA,48060
"14","Cyphocottus megalops","Cyphocottus","megalops",2058,584,"bathydemersal",600,16.5,"TL",48064
"15","Limnocottus bergianus","Limnocottus","bergianus",2058,584,"bathydemersal",1000,22.5,"TL",48059
"16","Limnocottus godlewskii","Limnocottus","godlewskii",26334,584,"bathydemersal",830,19,"TL",48061
"17","Limnocottus griseus","Limnocottus","griseus",26334,584,"bathydemersal",1300,NA,NA,48062
"18","Limnocottus pallidus","Limnocottus","pallidus",26334,584,"bathydemersal",1000,13.1,"SL",48083
"19","Neocottus thermalis","Neocottus","thermalis",53210,584,"bathydemersal",480,NA,NA,60304
"20","Neocottus werestschagini","Neocottus","werestschagini",2058,584,"bathydemersal",1400,9.8,"TL",48042
"21","Procottus gotoi","Procottus","gotoi",53210,584,"benthopelagic",NA,NA,NA,60303
"22","Procottus gurwicii","Procottus","gurwicii",2058,584,"benthopelagic",93,6.2,"TL",48085
"23","Procottus jeittelesii","Procottus","jeittelesii",2058,584,"benthopelagic",140,28,"TL",48084
