"","dband.grouped","Acanthurus.coeruleus","Acanthurus.tractus","Anisotremus.surinamensis","Antilligobius.nikkiae","Apogon.gouldi","Apogon.maculatus","Apogon.pseudomaculatus","Baldwinella.vivanus","Bathyanthias.sp.","Bellator.brachychir","Bellator.egretta","Bodianus.rufus","Bollmannia.boqueronensis","Bollmannia.eigenmanni","Bullisichthys.caribbaeus","Canthigaster.jamestyleri","Canthigaster.rostrata","Carangoides.bartholomaei","Carangoides.ruber","Caranx.latus","Caulolatilus.dooleyi","Caulolatilus.plumieri","Centropyge.argi","Cephalopholis.cruentata","Chaetodon.sedentarius","Chaetodon.striatus","Choranthias.tenuis","Chrionema.squamentum","Chromis.cyanea","Chromis.enchrysura","Chromis.insolata","Chromis.multilineata","Chromis.scotti","Clepticus.parrae","Corniger.spinosus","Coryphopterus.curasub","Decodon.shallow","Equetus.lanceolatus","Fistularia.sp.","Flammeo.marianus","Gnatholepis.thompsoni","Gonioplectrus.hispanus","Gramma.loreto","Gymnothorax.funebris","Gymnothorax.moringa","Gymnothorax.ocellatus","Haemulon.chrysargyreum","Haemulon.flavolineatum","Haemulon.striatum","Halichoeres.bathyphilus","Halichoeres.garnoti","Hemanthias.leptus","Holacanthus.ciliaris","Holocentrus.adscensionis","Hypoplectrus.chlorurus","Hyporthodus.niveatus","Jeboehlkia.gladifer","Lactophrys.triqueter","Liopropoma.aberrans","Liopropoma.carmabi","Liopropoma.mowbrayi","Liopropoma.olneyi","Lipogramma.evides","Lipogramma.klayi","Lipogramma.levinsoni","Malacanthus.plumieri","Mulloidichthys.martinicus","Muraena.retifera","Mycteroperca.bonaci","Mycteroperca.interstitialis","Myripristis.jacobus","Neoniphon.coruscum","Ocyurus.chrysurus","Ogcocephalus.parvus","Ostichthys.trachypoma","Oxyurichthys.stigmalophius","Palatogobius.incendius","Paranthias.furcifer","Paroncheilus.affinis","Peristedion.brevirostre","Physiculus.fulvus","Pinnichthys.aimoriensis","Plectranthias.sp.","Pomacanthus.arcuatus","Pomacanthus.paru","Pontinus.castor","Priolepis.hipoliti","Pristigenys.alta","Pristipomoides.aquilonaris","Pristipomoides.freemani","Prognathodes.aculeatus","Prognathodes.guyanensis","Pronotogrammus.martinicensis","Psilotris.laurae","Ptereleotris.helenae","Rypticus.maculatus","Rypticus.saponaceous","Sargocentron.bullisi","Scarus.taeniopterus","Scarus.vetula","Scorpaena.brasiliensis","Scorpaenodes.barrybrowni","Serranus.atrobranchus","Serranus.chionaraia","Serranus.luciopercanus","Serranus.notospilus","Serranus.phoebe","Serranus.tabacarius","Serranus.tigrinus","Serranus.tortugarum","Sparisoma.viride","Sphyraena.barracuda","Stegastes.partitus","Syacium.gunteri","Symphysanodon.octoactinus","Synagrops.bellus","Synagrops.egretta","Varicus.cephalocellatus","Varicus.decorum","Xanthichthys.ringens"
"100","100",0,0,0,1.08370151241013,0,0,0,0,0,0,0,0,1.28874554936186,0,0,0,1.08370151241013,0,0,0,0,0,0,0,1.08370151241013,0,0,0,0,1.53258537674089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42623139847642,1.42623139847642,0,0,0,0,0,0,0,0,0,1.08370151241013,0,0,1.08370151241013,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0169957868077,0,1.76272348029973,0,1.28874554936186,0,0,0,0,0,0,0,1.08370151241013,1.28874554936186,1.53258537674089,0,0,0,0,0,0,0,0,0,0,0,0,1.08370151241013
"110","110",0,0,0,3.28265635575824,1.0380670859824,0,1.0380670859824,0,0,0,0,0,1.23447676446339,0,0,0,0,0,0,0,0,0,0,1.68849559134752,0,0,3.46402360124754,0,0,2.98093598119785,0,0,0,0,1.36617311531153,0,1.23447676446339,1.55227235174759,0,1.0380670859824,0,0,0,0,0,0,2.77407350875928,0,0,1.23447676446339,0,0,0,0,0,0,0,0,0,0,0,1.36617311531153,0,1.0380670859824,1.23447676446339,0,0,0,0,0,0,0,0,0,0,0,2.77407350875928,1.0380670859824,4.12358791103088,0,0,0,0,0,0,1.0380670859824,1.36617311531153,0,0,0,1.23447676446339,1.0380670859824,3.09479718996253,0,2.1672740015974,0,1.36617311531153,1.23447676446339,0,0,0,0,0,0,1.23447676446339,1.0380670859824,1.89048655192255,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","120",0,0,0,2.45063433747265,0,1.0303648145196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0303648145196,0,0,0,0,0,1.22531716873632,0,0,2.23149896639008,0,0,0,0,1.54075476990986,0,1.54075476990986,1.45715589522878,0,0,0,0,0,0,1.0303648145196,0,0,0,1.35603635644477,0,0,0,0,1.22531716873632,0,0,0,0,1.0303648145196,0,0,1.45715589522878,0,0,1.78464420935939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0303648145196,0,0,0,0,1.0303648145196,0,0,1.35603635644477,1.0303648145196,3.80512787170155,0,0,0,0,1.0303648145196,0,0,0,0,0,0,1.0303648145196,1.35603635644477,1.91772500635519,0,0,0,0,0,0,0,0,0,0,0,0,0
"130","130",0,0,0,1.9886442982595,0,0,1.51104290375886,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06846868414568,1.06846868414568,0,0,0,0,1.51104290375886,0,0,2.20079668961038,1.06846868414568,0,0,0,1.40618386848947,0,1.27063056117819,1.40618386848947,0,0,0,0,0,0,0,1.06846868414568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51104290375886,0,0,2.02883923956532,0,0,1.27063056117819,0,0,0,0,0,0,0,0,0,0,1.06846868414568,0,0,0,0,0,0,0,0,0,0,0,1.06846868414568,1.06846868414568,2.82690242155615,0,0,0,1.27063056117819,0,0,0,0,0,0,0,0,1.59773334446021,2.50058782029346,0,0,0,0,0,0,0,0,0,0,1.27063056117819,0,0
"140","140",0,0,0,1.08096064081908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69179483094139,0,0,0,0,1.08096064081908,0,1.8179518560732,1.08096064081908,0,0,0,0,0,0,0,1.08096064081908,1.28548608510555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87227875114792,1.61641317706829,0,1.42262420863698,0,0,1.08096064081908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61641317706829,0,1.28548608510555,0,0,0,1.61641317706829,3.45197956396037,1.08096064081908,0,0,1.08096064081908,0,0,0,0,1.08096064081908,1.08096064081908,0,0,2.05255932874058,2.12731937658641,0,0,0,0,0,0,0,0,0,0,0,1.08096064081908,0
"150","150",0,0,0,0,0,0,0,1.69849135087583,0,0,0,0,0,0,0,1.04421236058572,0,0,0,1.04421236058572,0,0,0,0,0,0,1.04421236058572,0,0,1.04421236058572,0,0,0,0,1.80862886214945,0,1.24178476879047,1.04421236058572,0,0,0,1.90167808185297,0,0,1.04421236058572,0,0,0,0,0,0,1.37426075145876,0,0,0,0,1.04421236058572,0,0,0,0,1.98278063083136,1.04421236058572,0,1.04421236058572,0,0,0,0,0,0,0,0,0,1.04421236058572,0,1.04421236058572,0,0,0,1.04421236058572,0,0,0,1.24178476879047,1.47673928199936,0,1.04421236058572,0,0,0,1.24178476879047,2.91824189795843,0,0,0,0,0,0,0,0,1.04421236058572,0,0,0,1.69849135087583,1.56146168060571,0,0,0,0,0,0,0,1.63428066377841,0,0,0,0,0
"160","160",0,0,0,0,0,0,0,0,0,0,1.04943181293498,0,0,0,0,0,0,0,0,0,1.04943181293498,0,0,0,0,0,0,1.48412070230153,0,0,0,0,0,0,1.04943181293498,0,1.04943181293498,0,0,0,0,1.24799177841843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24799177841843,0,1.04943181293498,0,0,1.24799177841843,1.04943181293498,0,0,0,0,1.04943181293498,0,0,0,0,0,1.04943181293498,0,0,0,0,0,0,1.04943181293498,1.04943181293498,0,0,0,0,0,1.56926658219692,1.04943181293498,0,0,1.48412070230153,2.19100125148298,0,0,0,0,0,0,0,0,0,0,0,0,1.64244954808359,1.48412070230153,0,0,0,0,0,0,0,1.76492689876946,0,0,0,1.76492689876946,0
"170","170",0,0,0,0,0,0,0,1.23750799229742,0,1.23750799229742,1.04061603437579,0,0,0,0,0,0,0,0,0,1.47165330937691,0,0,0,0,0,0,1.04061603437579,0,0,0,0,0,0,0,0,0,0,1.04061603437579,0,0,0,0,0,0,1.23750799229742,0,0,0,0,0,0,0,0,0,1.04061603437579,1.04061603437579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23750799229742,0,0,0,0,1.04061603437579,1.23750799229742,0,0,0,0,0,0,0,0,0,0,0,1.9759518230463,0,0,0,0,0,0,0,0,0,0,0,0,1.75010058625212,1.55608391900951,0,0,0,0,0,0,1.04061603437579,0,0,0,0,0,0
"180","180",0,0,0,0,0,0,0,1.36277887017667,0,0,1.62062632892348,0,0,0,0,0,0,0,0,0,1.14595586695125,1.14595586695125,0,0,0,0,1.62062632892348,1.50816273624566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36277887017667,0,0,0,0,0,1.14595586695125,0,0,0,0,1.14595586695125,0,0,0,0,0,0,0,0,1.14595586695125,0,0,0,0,0,0,0,0,1.14595586695125,0,0,0,0,1.14595586695125,0,0,0,0,0,1.14595586695125,0,0,0,0,0,0,1.14595586695125,0,0,0,0,0,0,0,0,0,0,0,0,1.14595586695125,1.50816273624566,0,0,0,0,0,0,0,0,1.14595586695125,0,0,0,0
"190-200","190-200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.02983653824637,0,0,0,0,0,0,1.48118256234672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13219639992362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04735423377194,0,0,0,0,0,0,0,0,0,0,1.13219639992362,0,0,0,0,0,0,0,0,0,0,1.04735423377194,0,0,0,0,1.04735423377194,0,0,0,0,0,0,0,0,0,0,0,0,0,0
