"","species","dband","location","hab","abundance","m","COEF","abu.corr","species.fb","lwa_m","lwa_sd","lwb_m","lwb_sd","maxTL","maxDepth","length","biomass"
"1","Abudefduf saxatilis",10,"Roatan","shallow",191,"m",2.225,424.975,"Abudefduf saxatilis",0.01862,0.00548469387755102,3.05,0.0663265306122451,22.9,20,17.175,46214.4866957756
"2","Abudefduf saxatilis",20,"Roatan","shallow",18,"m",1.934782609,34.826086962,"Abudefduf saxatilis",0.01862,0.00548469387755102,3.05,0.0663265306122451,22.9,20,17.175,3787.21038313141
"3","Acanthostracion polygonius",60,"St. Eustatius","deep",1,"m",6.826086957,6.826086957,"Acanthostracion polygonius",0.02754,0.0093469387755102,2.83,0.0765306122448979,50,80,37.5,5353.57929947942
"4","Acanthostracion polygonius",70,"St. Eustatius","deep",1,"m",5.971062422,5.971062422,"Acanthostracion polygonius",0.02754,0.0093469387755102,2.83,0.0765306122448979,50,80,37.5,4682.99867547654
"5","Acanthostracion quadricornis",60,"Roatan","deep",1,"m",1.893617021,1.893617021,"Acanthostracion quadricornis",0.03981,0.0144387755102041,2.7,0.0816326530612243,55,80,41.25,1733.52056860031
"6","Acanthostracion quadricornis",60,"Roatan","shallow",1,"m",1.893617021,1.893617021,"Acanthostracion quadricornis",0.03981,0.0144387755102041,2.7,0.0816326530612243,55,80,41.25,1733.52056860031
"7","Acanthostracion quadricornis",80,"St. Eustatius","deep",1,"m",3.768327681,3.768327681,"Acanthostracion quadricornis",0.03981,0.0144387755102041,2.7,0.0816326530612243,55,80,41.25,3449.7332204955
"8","Acanthurus chirurgus",10,"Roatan","shallow",23,"m",2.225,51.175,"Acanthurus chirurgus",0.02188,0.00253061224489796,2.95,0.0204081632653061,39,25,29.25,23668.8134517102
"9","Acanthurus chirurgus",20,"Roatan","shallow",3,"m",1.934782609,5.804347827,"Acanthurus chirurgus",0.02188,0.00253061224489796,2.95,0.0204081632653061,39,25,29.25,2684.55351101324
"10","Acanthurus chirurgus",30,"Roatan","shallow",1,"m",1.034883721,1.034883721,"Acanthurus chirurgus",0.02188,0.00253061224489796,2.95,0.0204081632653061,39,25,29.25,478.641323626003
"11","Acanthurus chirurgus",40,"St. Eustatius","deep",1,"m",10.87650602,10.87650602,"Acanthurus chirurgus",0.02188,0.00253061224489796,2.95,0.0204081632653061,39,25,29.25,5030.46393734798
"12","Acanthurus coeruleus",10,"Roatan","shallow",163,"m",2.225,362.675,"Acanthurus coeruleus",0.0263,0.00892857142857143,2.95,0.0714285714285713,39,40,29.25,201625.141853065
"13","Acanthurus coeruleus",20,"Roatan","shallow",4,"m",1.934782609,7.739130436,"Acanthurus coeruleus",0.0263,0.00892857142857143,2.95,0.0714285714285713,39,40,29.25,4302.48368919245
"14","Acanthurus coeruleus",30,"Roatan","shallow",3,"m",1.034883721,3.104651163,"Acanthurus coeruleus",0.0263,0.00892857142857143,2.95,0.0714285714285713,39,40,29.25,1725.99636353252
