"","cluster","dband.grouped","label","run_num","ord_num"
"1","cl1",40,"40",1,1
"2","cl1",50,"50",2,1
"3","cl1",60,"60",3,1
"4","cl6",70,"70",4,4
"5","cl6",80,"80",5,4
"6","cl6",90,"90",6,4
"7","cl6",100,"100",7,4
"8","cl6",110,"110",8,4
"9","cl5",120,"120",9,9
"10","cl5",130,"130",10,9
"11","cl5",140,"140",11,9
"12","cl5",150,"150",12,9
"13","cl5",160,"160",13,9
"14","cl2",170,"170",14,14
"15","cl2",180,"180",15,14
"16","cl2",190,"190",16,14
"17","cl4",210,"210",17,17
"18","cl4",220,"220",18,17
"19","cl3",260,"260",19,19
"20","cl3",270,"270",20,19
"21","cl3",280,"280",21,19
