"","dband","m","COEF","location"
"1",100,"m",1.379236425,"Bonaire"
"2",110,"m",1.161185714,"Bonaire"
"3",120,"m",1.127104229,"Bonaire"
"4",130,"m",1.303308391,"Bonaire"
"5",140,"m",1.365335946,"Bonaire"
"6",150,"m",1.188927353,"Bonaire"
"7",160,"m",1.212877394,"Bonaire"
"8",170,"m",1.172632844,"Bonaire"
"9",180,"m",1.724533239,"Bonaire"
"10",190,"m",1.643187332,"Bonaire"
"11",200,"m",1.203301258,"Bonaire"
"12",210,"m",1.454078712,"Bonaire"
"13",220,"m",1.136560242,"Bonaire"
"14",230,"m",1.644295347,"Bonaire"
"15",250,"m",3.051927409,"Bonaire"
"16",260,"m",2.855374707,"Bonaire"
"17",270,"m",3.382094313,"Bonaire"
"18",280,"m",3.295256757,"Bonaire"
"19",290,"m",4.077742475,"Bonaire"
"20",300,"m",8.196605042,"Bonaire"
"21",40,"m",1.139215137,"Bonaire"
"22",50,"m",0.999995899,"Bonaire"
"23",60,"m",2.016114097,"Bonaire"
"24",70,"m",2.085070543,"Bonaire"
"25",80,"m",1.181725224,"Bonaire"
"26",90,"m",1.187769118,"Bonaire"
"27",100,"m",1.379236425,"Curacao"
"28",110,"m",1.161185714,"Curacao"
"29",120,"m",1.127104229,"Curacao"
"30",130,"m",1.303308391,"Curacao"
"31",140,"m",1.365335946,"Curacao"
"32",150,"m",1.188927353,"Curacao"
"33",160,"m",1.212877394,"Curacao"
"34",170,"m",1.172632844,"Curacao"
"35",180,"m",1.724533239,"Curacao"
"36",190,"m",1.643187332,"Curacao"
"37",200,"m",1.203301258,"Curacao"
"38",210,"m",1.454078712,"Curacao"
"39",220,"m",1.136560242,"Curacao"
"40",230,"m",1.644295347,"Curacao"
"41",240,"m",2.350351807,"Curacao"
"42",250,"m",3.051927409,"Curacao"
"43",260,"m",2.855374707,"Curacao"
"44",270,"m",3.382094313,"Curacao"
"45",280,"m",3.295256757,"Curacao"
"46",290,"m",4.077742475,"Curacao"
"47",300,"m",8.196605042,"Curacao"
"48",40,"m",1.139215137,"Curacao"
"49",50,"m",0.999995899,"Curacao"
"50",60,"m",2.016114097,"Curacao"
"51",70,"m",2.085070543,"Curacao"
"52",80,"m",1.181725224,"Curacao"
"53",90,"m",1.187769118,"Curacao"
"54",10,"m",2.225,"Roatan"
"55",20,"m",1.934782609,"Roatan"
"56",30,"m",1.034883721,"Roatan"
"57",40,"m",1.1125,"Roatan"
"58",50,"m",1.390625,"Roatan"
"59",60,"m",1.893617021,"Roatan"
"60",70,"m",2.656716418,"Roatan"
"61",80,"m",2.472222222,"Roatan"
"62",90,"m",2.966666667,"Roatan"
"63",100,"m",1.483333333,"Roatan"
"64",110,"m",1.934782609,"Roatan"
"65",120,"m",2.170731707,"Roatan"
"66",130,"m",2.542857143,"Roatan"
"67",140,"m",1.893617021,"Roatan"
"68",150,"m",2.022727273,"Roatan"
"69",160,"m",1.618181818,"Roatan"
"70",170,"m",1.022988506,"Roatan"
"71",180,"m",2.870967742,"Roatan"
"72",190,"m",1.934782609,"Roatan"
"73",200,"m",1.369230769,"Roatan"
"74",210,"m",2.119047619,"Roatan"
"75",220,"m",1.854166667,"Roatan"
"76",230,"m",1.589285714,"Roatan"
"77",240,"m",1.711538462,"Roatan"
"78",250,"m",1.034883721,"Roatan"
"79",260,"m",1.126582278,"Roatan"
"80",270,"m",1,"Roatan"
"81",280,"m",2.022727273,"Roatan"
"82",290,"m",1.308823529,"Roatan"
"83",300,"m",2.617647059,"Roatan"
"84",310,"m",1.308823529,"Roatan"
"85",320,"m",5.235294118,"Roatan"
"86",330,"m",8.090909091,"Roatan"
"87",350,"m",8.090909091,"Roatan"
"88",360,"m",8.090909091,"Roatan"
"89",390,"m",8.090909091,"Roatan"
"90",400,"m",3.708333333,"Roatan"
"91",410,"m",3.068965517,"Roatan"
"92",420,"m",3.178571429,"Roatan"
"93",430,"m",2.282051282,"Roatan"
"94",440,"m",3.296296296,"Roatan"
"95",450,"m",5.933333333,"Roatan"
"96",460,"m",5.933333333,"Roatan"
"97",470,"m",5.933333333,"Roatan"
"98",480,"m",5.933333333,"Roatan"
"99",90,"m",1,"St. Eustatius"
"100",80,"m",3.768327681,"St. Eustatius"
"101",70,"m",5.971062422,"St. Eustatius"
"102",60,"m",6.826086957,"St. Eustatius"
"103",50,"m",15.20421053,"St. Eustatius"
"104",40,"m",10.87650602,"St. Eustatius"
"105",270,"m",18.23737374,"St. Eustatius"
"106",260,"m",6.485855411,"St. Eustatius"
"107",240,"m",14.21653543,"St. Eustatius"
"108",230,"m",2.26572549,"St. Eustatius"
"109",220,"m",5.980952381,"St. Eustatius"
"110",210,"m",2.498961938,"St. Eustatius"
"111",200,"m",3.862032086,"St. Eustatius"
"112",190,"m",3.571711177,"St. Eustatius"
"113",180,"m",4.174566474,"St. Eustatius"
"114",170,"m",3.76734481,"St. Eustatius"
"115",160,"m",4.342754059,"St. Eustatius"
"116",150,"m",3.366899767,"St. Eustatius"
"117",140,"m",5.143874644,"St. Eustatius"
"118",130,"m",3.42437174,"St. Eustatius"
"119",120,"m",3.838426787,"St. Eustatius"
"120",110,"m",1.300675371,"St. Eustatius"
"121",100,"m",1.546301253,"St. Eustatius"
