,species,dband,location,hab,abundance,m,COEF,X,abu.corr,species.fb
695,Clepticus parrae,10,Roatan,shallow,1385,m,2.225,10,3081.625,Clepticus parrae
547,Chromis cyanea,10,Roatan,shallow,517,m,2.225,10,1150.325,Chromis cyanea
3,Acanthostracion polygonius,60,St. Eustatius,deep,1,m,6.826086957,NA,6.826086957,Acanthostracion polygonius
4,Acanthostracion polygonius,70,St. Eustatius,deep,1,m,5.971062422,NA,5.971062422,Acanthostracion polygonius
258,Canthigaster rostrata,10,Roatan,shallow,444,m,2.225,10,987.9,Canthigaster rostrata
2272,Thalassoma bifasciatum,10,Roatan,shallow,215,m,2.225,10,478.375,Thalassoma bifasciatum
7,Acanthostracion quadricornis,80,St. Eustatius,deep,1,m,3.768327681,NA,3.768327681,Acanthostracion quadricornis
1,Abudefduf saxatilis,10,Roatan,shallow,191,m,2.225,10,424.975,Abudefduf saxatilis
605,Chromis insolata,10,Roatan,shallow,186,m,2.225,10,413.85,Chromis insolata
2175,Stegastes planifrons,10,Roatan,shallow,183,m,2.225,10,407.175,Stegastes planifrons
11,Acanthurus chirurgus,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Acanthurus chirurgus
12,Acanthurus coeruleus,10,Roatan,shallow,163,m,2.225,10,362.675,Acanthurus coeruleus
2157,Stegastes partitus,10,Roatan,shallow,133,m,2.225,10,295.925,Stegastes partitus
653,Chromis multilineata,10,Roatan,shallow,128,m,2.225,10,284.8,Chromis multilineata
15,Acanthurus coeruleus,40,Bonaire,deep,1,m,1.139215137,NA,1.139215137,Acanthurus coeruleus
2156,Stegastes diencaeus,10,Roatan,shallow,105,m,2.225,10,233.625,Stegastes diencaeus
1950,Scarus iseri,10,Roatan,shallow,66,m,2.225,10,146.85,Scarus iseri
18,Acanthurus coeruleus,40,St. Eustatius,deep,1,m,10.87650602,NA,10.87650602,Acanthurus coeruleus
19,Acanthurus coeruleus,50,Bonaire,deep,1,m,0.999995899,NA,0.999995899,Acanthurus coeruleus
2112,Sparisoma aurofrenatum,10,Roatan,shallow,53,m,2.225,10,117.925,Sparisoma aurofrenatum
741,Coryphopterus personatus,10,Roatan,shallow,40,m,2.225,10,89,Coryphopterus personatus
954,Gramma loreto,10,Roatan,shallow,32,m,2.225,10,71.2,Gramma loreto
23,Acanthurus tractus,50,Bonaire,deep,1,m,0.999995899,NA,0.999995899,Acanthurus tractus
24,Acanthurus tractus,50,St. Eustatius,deep,1,m,15.20421053,NA,15.20421053,Acanthurus tractus
25,Anisotremus surinamensis,40,Bonaire,deep,1,m,1.139215137,NA,1.139215137,Anisotremus surinamensis
2127,Sparisoma viride,10,Roatan,shallow,28,m,2.225,10,62.3,Sparisoma viride
297,Carangoides ruber,10,Roatan,shallow,25,m,2.225,10,55.625,Caranx ruber
28,Anthias asperilinguis,90,Curacao,deep,1,m,1.187769118,NA,1.187769118,Anthias asperilinguis
29,Anthias asperilinguis,120,Curacao,deep,2,m,1.127104229,NA,2.254208458,Anthias asperilinguis
30,Anthias asperilinguis,220,Curacao,deep,3,m,1.136560242,NA,3.409680726,Anthias asperilinguis
31,Anthias asperilinguis,230,Curacao,deep,2,m,1.644295347,NA,3.288590694,Anthias asperilinguis
8,Acanthurus chirurgus,10,Roatan,shallow,23,m,2.225,10,51.175,Acanthurus chirurgus
426,Chaetodon capistratus,10,Roatan,shallow,23,m,2.225,10,51.175,Chaetodon capistratus
34,Anthias asperilinguis,240,Curacao,deep,6,m,2.350351807,NA,14.10211084,Anthias asperilinguis
35,Anthias asperilinguis,250,Curacao,deep,2,m,3.051927409,NA,6.103854818,Anthias asperilinguis
36,Anthias asperilinguis,270,Curacao,deep,1,m,3.382094313,NA,3.382094313,Anthias asperilinguis
1496,Ocyurus chrysurus,10,Roatan,shallow,21,m,2.225,10,46.725,Ocyurus chrysurus
1453,Microspathodon chrysurus,10,Roatan,shallow,20,m,2.225,10,44.5,Microspathodon chrysurus
39,Anthias asperilinguis,290,Curacao,deep,2,m,4.077742475,NA,8.15548495,Anthias asperilinguis
1955,Scarus taeniopterus,10,Roatan,shallow,17,m,2.225,10,37.825,Scarus taeniopterus
1051,Halichoeres garnoti,10,Roatan,shallow,10,m,2.225,10,22.25,Halichoeres garnoti
42,Antigonia capros,150,Curacao,deep,1,m,1.188927353,NA,1.188927353,Antigonia capros
43,Antigonia capros,160,Curacao,deep,4,m,1.212877394,NA,4.851509576,Antigonia capros
44,Antigonia capros,170,Curacao,deep,4,m,1.172632844,NA,4.690531376,Antigonia capros
45,Antigonia capros,180,Curacao,deep,12,m,1.724533239,NA,20.69439887,Antigonia capros
46,Antigonia capros,190,Curacao,deep,2,m,1.643187332,NA,3.286374664,Antigonia capros
47,Antigonia capros,200,Curacao,deep,9,m,1.203301258,NA,10.82971132,Antigonia capros
48,Antigonia capros,210,Curacao,deep,11,m,1.454078712,NA,15.99486583,Antigonia capros
49,Antigonia capros,220,Curacao,deep,16,m,1.136560242,NA,18.18496387,Antigonia capros
50,Antigonia capros,220,St. Eustatius,deep,1,m,5.980952381,NA,5.980952381,Antigonia capros
