"","Anthias asperilinguis","Antigonia capros","Antilligobius nikkiae","Apogon gouldi","Baldwinella vivanus","Bellator brachychir","Bellator egretta","Bullisichthys caribbaeus","Canthigaster jamestyleri","Centropristis fuscula","Centropyge argi","Cephalopholis cruentata","Chaetodon capistratus","Chaunax pictus","Choranthias tenuis","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis multilineata","Chromis scotti","Clepticus parrae","Corniger spinosus","Coryphopterus curasub","Decodon puellaris","Decodon shallow","Flammeo marianus","Foetorepus agassizii","Gephyroberyx darwinii","Gonioplectrus hispanus","Gramma loreto","Haemulon flavolineatum","Haemulon striatum","Haemulon vittata","Haptoclinus dropi","Hemanthias leptus","Jeboehlkia gladifer","Liopropoma aberrans","Liopropoma mowbrayi","Liopropoma olneyi","Liopropoma santi","Lipogramma barrettorum","Lipogramma evides","Lipogramma haberi","Lipogramma klayi","Lipogramma levinsoni","Lipogramma schrieri","Myripristis jacobus","Opistognathus schrieri","Ostichthys trachypoma","Palatogobius incendius","Paranthias furcifer","Paroncheilus affinis","Plectranthias sp.","Polylepion sp.","Pontinus castor","Pontinus nematophthalmus","Pristigenys alta","Pristipomoides macrophthalmus","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Ptereleotris helenae","Serranus luciopercanus","Serranus notospilus","Serranus phoebe","Sphyraenops bairdianus","Stegastes partitus","Symphysanodon berryi","Symphysanodon octoactinus","Varicus decorum","Varicus veliguttatus","Xanthichthys ringens"
"40",0,0,0,0,0,0,0,0,0,1.06734021614479,0,1.50944700933819,2.13468043228957,0,0,0,2.38664527841906,0,2.13468043228957,5.44238858976461,1.06734021614479,9.36587238590191,0,0,0,0,0,0,0,0,3.84834987767485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50944700933819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65242814055198,0,0,0,0,1.50944700933819
"50",0,0,0,0,0,0,0,0,0,0,0,0.999997949497898,2.2360633924377,0,0,0,5.19614176798517,0,6.08275005758086,4.69040614211605,0.999997949497898,1.41421066252521,0,0,0,0,2.2360633924377,0,0,0,2.64574588594597,1.41421066252521,0.999997949497898,0,0,0,0,0,0.999997949497898,0,0,0,0,0,0,0,0,1.41421066252521,0,0,0,2.44948472009931,0,0,0,0,0,0,0,1.41421066252521,0,0,0,0,0,0,0,4.24263198757564,0,0,0,0,1.9999958989958
"60",0,0,0,0,0,0,0,0,0,0,7.77710890434228,2.8397986527217,0,0,0,0,3.75670050429895,0,10.8136311027333,1.41989932636085,2.8397986527217,15.8749570747451,0,0,0,0,4.49011591943905,0,0,0,3.75670050429895,3.17499141494902,2.00804088454394,2.00804088454394,0,0,0,0,2.45933777488982,0,0,0,0,0,0,0,0,3.47802883570565,0,0,0,19.5203884267962,0,0,0,0,0,0,0,2.8397986527217,0,0,1.41989932636085,1.41989932636085,0,0,0,3.17499141494902,0,0,0,0,3.75670050429895
"70",0,0,0,0,0,0,0,0,11.5518186772473,2.04209233042975,4.0841846608595,2.88795466931183,2.88795466931183,0,0,0,2.50104210860193,2.50104210860193,9.89940985720866,0,8.90127410172274,12.5883025570567,0,2.50104210860193,0,0,2.04209233042975,0,0,0,0,2.88795466931183,6.92507202049192,0,0,0,0,0,3.82040492631344,0,0,0,0,0,4.56625726717188,0,0,2.04209233042975,0,0,0,9.68649443477877,0,0,0,0,0,1.44397733465591,0,3.22883147825959,0,0,4.0841846608595,3.82040492631344,0,0,0,0,0,0,0,0,1.44397733465591
"80",0,0,2.17414371558092,0,0,0,0,5.95413778140882,1.53735176456138,0,0,1.53735176456138,1.88286368917136,0,0,0,0,2.17414371558092,7.29229971133935,0,5.32554273065197,1.88286368917136,0,1.53735176456138,0,0,4.48211209230648,0,0,0,0,0,1.88286368917136,0,0,0,0,0,3.9194933233774,0,0,0,0,0,2.43076657044645,0,0,1.08707185779046,0,0,0,0,0,0,0,0,0,0,0,2.43076657044645,0,1.08707185779046,3.43762305088851,1.08707185779046,0,1.53735176456138,0,0,0,0,0,0,1.08707185779046
"90",1.08984820869697,0,8.78663716503646,0,0,0,0,6.26070131007701,5.22672839489484,1.08984820869697,1.08984820869697,2.43697467980281,0,0,1.08984820869697,0,0,3.26954462609092,3.26954462609092,0,2.66957200839386,2.17969641739395,0,0,0,1.08984820869697,1.54127811766728,0,0,0,0,0,1.88767247000109,0,0,0,0,1.54127811766728,5.33914401678771,0,0,0,0,0,5.66301741000326,1.54127811766728,0,0,0,0,0,2.17969641739395,0,1.54127811766728,0,0,0,1.08984820869697,0,3.08255623533456,1.08984820869697,4.49355928034782,1.08984820869697,4.87394935960562,0,0,0,0,0,0,1.08984820869697,0,0
"100",0,0,6.32438584567703,2.03413600209032,0,0,0,9.0208064536936,0,0,0,3.52322690512547,1.17440896837516,0,0,0,0,5.9883342466833,4.06827200418064,0,3.71380724459415,0,0,0,0,1.17440896837516,1.17440896837516,0,0,1.17440896837516,0,0,1.17440896837516,4.54846637615362,0,0,0,0,6.53883240150717,0,0,0,0,0,2.62605828667225,1.17440896837516,0,0,0,0,0,1.17440896837516,0,0,0,0,0,0,0,1.66086509084874,2.34881793675031,4.06827200418064,1.17440896837516,4.98259527254623,1.66086509084874,1.17440896837516,0,0,0,0,0,0,0
"110",0,0,12.4739282375681,1.86642898123663,0,0,0,11.0943988428396,3.73285796247326,1.07758327474029,0,1.86642898123663,0,0,2.85101736192539,0,0,4.57179864517238,1.07758327474029,0,1.07758327474029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52393288172413,0,2.85101736192539,5.59928694370989,2.63952917847104,0,0,0,0,1.52393288172413,2.15516654948057,0,0,0,0,12.7501372525946,1.52393288172413,2.40954945373611,0,0,0,0,1.07758327474029,0,0,1.52393288172413,10.7758327474029,0,4.17346207722078,0,0,0,0,0,0,0,0,0
"120",1.50140216397873,0,4.24660660575005,1.50140216397873,1.50140216397873,0,0,2.12330330287503,3.00280432795745,1.83883460022918,0,1.06165165143751,0,0,2.37392526103919,0,0,2.12330330287503,0,0,0,0,0,0,0,1.50140216397873,0,0,0,2.12330330287503,0,0,0,0,0,0,1.06165165143751,2.80886624868469,1.83883460022918,3.82783946593898,0,0,0,0,0,1.83883460022918,0,0,0,0,9.61366458630631,0,0,1.50140216397873,0,1.50140216397873,0,1.06165165143751,0,1.06165165143751,1.83883460022918,9.49570104415677,1.50140216397873,2.80886624868469,0,1.83883460022918,0,0,1.06165165143751,0,0,0,0
"130",0,0,2.28325065728667,1.97735307241777,0,0,0,6.25293944717203,1.61450202291604,0,0,1.14162532864333,0,0,0,0,0,1.97735307241777,0,0,0,0,1.14162532864333,0,0,1.61450202291604,0,0,0,3.42487598593,0,0,0,0,0,0,0,2.28325065728667,1.61450202291604,3.22900404583209,0,1.61450202291604,1.61450202291604,0,0,3.78634286627611,0,0,0,0,0,0,0,0,0,1.14162532864333,1.61450202291604,1.61450202291604,0,1.61450202291604,2.28325065728667,9.9524588778854,0,0,1.61450202291604,2.28325065728667,0,0,0,0,0,0,0
