"","Acanthurus coeruleus","Acanthurus tractus","Anisotremus surinamensis","Antilligobius nikkiae","Apogon gouldi","Apogon maculatus","Apogon pseudomaculatus","Baldwinella vivanus","Bathyanthias sp.","Bellator brachychir","Bellator egretta","Bodianus rufus","Bollmannia boqueronensis","Bollmannia eigenmanni","Bullisichthys caribbaeus","Canthigaster jamestyleri","Canthigaster rostrata","Carangoides bartholomaei","Carangoides ruber","Caranx latus","Caulolatilus dooleyi","Caulolatilus plumieri","Centropyge argi","Cephalopholis cruentata","Chaetodon sedentarius","Chaetodon striatus","Choranthias tenuis","Chrionema squamentum","Chromis cyanea","Chromis enchrysura","Chromis insolata","Chromis multilineata","Chromis scotti","Clepticus parrae","Corniger spinosus","Coryphopterus curasub","Decodon shallow","Equetus lanceolatus","Fistularia sp.","Flammeo marianus","Gnatholepis thompsoni","Gonioplectrus hispanus","Gramma loreto","Gymnothorax funebris","Gymnothorax moringa","Gymnothorax ocellatus","Haemulon chrysargyreum","Haemulon flavolineatum","Haemulon striatum","Halichoeres bathyphilus","Halichoeres garnoti","Hemanthias leptus","Holacanthus ciliaris","Holocentrus adscensionis","Hypoplectrus chlorurus","Hyporthodus niveatus","Jeboehlkia gladifer","Lactophrys triqueter","Liopropoma aberrans","Liopropoma carmabi","Liopropoma mowbrayi","Liopropoma olneyi","Lipogramma evides","Lipogramma klayi","Lipogramma levinsoni","Malacanthus plumieri","Mulloidichthys martinicus","Muraena retifera","Mycteroperca bonaci","Mycteroperca interstitialis","Myripristis jacobus","Neoniphon coruscum","Ocyurus chrysurus","Ogcocephalus parvus","Ostichthys trachypoma","Oxyurichthys stigmalophius","Palatogobius incendius","Paranthias furcifer","Paroncheilus affinis","Peristedion brevirostre","Physiculus fulvus","Pinnichthys aimoriensis","Plectranthias sp.","Pomacanthus arcuatus","Pomacanthus paru","Pontinus castor","Priolepis hipoliti","Pristigenys alta","Pristipomoides aquilonaris","Pristipomoides freemani","Prognathodes aculeatus","Prognathodes guyanensis","Pronotogrammus martinicensis","Psilotris laurae","Ptereleotris helenae","Rypticus maculatus","Rypticus saponaceous","Sargocentron bullisi","Scarus taeniopterus","Scarus vetula","Scorpaena brasiliensis","Scorpaenodes barrybrowni","Serranus atrobranchus","Serranus chionaraia","Serranus luciopercanus","Serranus notospilus","Serranus phoebe","Serranus tabacarius","Serranus tigrinus","Serranus tortugarum","Sparisoma viride","Sphyraena barracuda","Stegastes partitus","Syacium gunteri","Symphysanodon octoactinus","Synagrops bellus","Synagrops egretta","Varicus cephalocellatus","Varicus decorum","Xanthichthys ringens"
"40",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.7279220613579,1.4142135623731,2.44948974278318,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64575131106459,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.23606797749979,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1
"50",1,1,0,0,0,0,0,0,0,0,0,1.73205080756888,0,0,0,0,1,0,1,0,0,0,0,0,0,1.4142135623731,0,0,11.9582607431014,0,5.74456264653803,0,1,3.3166247903554,0,0,0,0,0,0,0,0,0,1,0,0,0,1.4142135623731,0,0,3,0,0,1,1.73205080756888,0,0,0,0,0,0,0,0,0,0,0,4.79583152331272,0,0,0,0,0,0,0,0,0,0,5.09901951359278,0,0,0,0,0,0,1,0,0,0,0,0,1.4142135623731,0,0,0,0,0,0,0,2.23606797749979,0,0,0,0,0,0,0,0,1,1,0,1,0,6.70820393249937,0,0,0,0,0,0,2.64575131106459
"60",0,0,0,3.16227766016838,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4142135623731,1.4142135623731,0,1.4142135623731,0,0,3.60555127546399,0,1,2,0,1.4142135623731,0,0,0,0,0,1,0,0,0,0,0,0,0,1.73205080756888,2,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.73205080756888,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,0,0,0,1.73205080756888,0,1,0,1.73205080756888,1,0,0,0,0,0,0,0,1,0,0,1,0,4.79583152331272,0,0,0,0,0,0,3.46410161513775
"70",0,0,0,1,0,0,1,0,0,0,0,0,5.47722557505166,0,0,0,1,0,1,0,0,0,4.24264068711928,0,0,0,0,0,2,2.23606797749979,2.44948974278318,3.16227766016838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4142135623731,0,1,0,0,0,1,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,2.44948974278318,0,0,0,0,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,1.73205080756888,0,0,0,0,0,0,0,0,2.23606797749979,0,0,1,0,0,1.4142135623731,0,0,1.73205080756888,0,0,0,0,0,0,2.23606797749979
"80",0,0,0,4.58257569495584,0,0,0,0,0,0,0,0,1,1,1.4142135623731,0,1.4142135623731,0,0,0,0,0,2.44948974278318,1,0,2.44948974278318,0,0,1.4142135623731,4.35889894354067,1.73205080756888,0,0,0,0,2,1.4142135623731,0,0,1,1,0,0,0,0,0,0,1,0,4.47213595499958,0,0,1,0,0,0,0,0,0,1.4142135623731,2.23606797749979,0,0,1.4142135623731,0,1.4142135623731,0,0,1,0,1,0,0,0,1,0,0,10.0498756211209,18.7082869338697,0,0,0,0,0,0,0,0,0,0,0,1,0,1.4142135623731,0,3.60555127546399,1,0,0,0,0,0,0,0,1.4142135623731,1,0,2.82842712474619,0,0,1.73205080756888,0,0,0,0,0,0,0,0,0,0
"90",0,0,0,10.0498756211209,0,0,0,0,0,0,0,0,0,0,0,0,1.4142135623731,3.16227766016838,0,0,1,0,1.4142135623731,4.24264068711928,2,0,0,0,0,6.2449979983984,1,0,0,1,0,0,3,1.4142135623731,0,1,0,0,0,0,0,0,0,0,6.32455532033676,0,1,0,0,1.73205080756888,0,0,0,0,0,0,1,0,0,1.4142135623731,0,1.73205080756888,1,0,1,0,0,1,1,0,0,1.4142135623731,0,7.07106781186548,6,0,0,0,0,0,0,0,0,0,0,0,1,0,6.32455532033676,0,2,0,1,0,0,0,0,0,0,1,2.44948974278318,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",0,0,0,1,0,0,0,0,0,0,0,0,1.4142135623731,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73205080756888,1.73205080756888,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46410161513775,0,2.64575131106459,0,1.4142135623731,0,0,0,0,0,0,0,1,1.4142135623731,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"110",0,0,0,10,1,0,1,0,0,0,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,2.64575131106459,0,0,11.13552872566,0,0,8.24621125123532,0,0,0,0,1.73205080756888,0,1.4142135623731,2.23606797749979,0,1,0,0,0,0,0,0,7.14142842854285,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,0,1.73205080756888,0,1,1.4142135623731,0,0,0,0,0,0,0,0,0,0,0,7.14142842854285,1,15.7797338380595,0,0,0,0,0,0,1,1.73205080756888,0,0,0,1.4142135623731,1,8.88819441731559,0,4.35889894354067,0,1.73205080756888,1.4142135623731,0,0,0,0,0,0,1.4142135623731,1,3.3166247903554,0,0,0,0,0,0,0,0,0,0,0,0,0
"120",0,0,0,5.65685424949238,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.4142135623731,0,0,4.69041575982343,0,0,0,0,2.23606797749979,0,2.23606797749979,2,0,0,0,0,0,0,1,0,0,0,1.73205080756888,0,0,0,0,1.4142135623731,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1.73205080756888,1,13.6381816969859,0,0,0,0,1,0,0,0,0,0,0,1,1.73205080756888,3.46410161513775,0,0,0,0,0,0,0,0,0,0,0,0,0
"130",0,0,0,3.46410161513775,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,4.24264068711928,1,0,0,0,1.73205080756888,0,1.4142135623731,1.73205080756888,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.60555127546399,0,0,1.4142135623731,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,1.4142135623731,0,0,0,0,0,0,0,0,2.23606797749979,5.47722557505166,0,0,0,0,0,0,0,0,0,0,1.4142135623731,0,0
