,species,upper.mesophotic_lower.mesophotic.average,upper.mesophotic_lower.mesophotic.p,upper.mesophotic_upper.rariphotic.average,upper.mesophotic_upper.rariphotic.p,upper.mesophotic_lower.rariphotic.average,upper.mesophotic_lower.rariphotic.p,lower.mesophotic_upper.rariphotic.average,lower.mesophotic_upper.rariphotic.p,lower.mesophotic_lower.rariphotic.average,lower.mesophotic_lower.rariphotic.p,upper.rariphotic_lower.rariphotic.average,upper.rariphotic_lower.rariphotic.p,location
1,Clepticus parrae,0.059900036,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao
2,Clepticus parrae,NA,NA,0.073796892,0.002,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao
3,Pronotogrammus martinicensis,NA,NA,0.067278181,0.004,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao
4,Chromis insolata,NA,NA,0.053960639,0.003,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao
5,Paranthias furcifer,NA,NA,0.052567708,0.004,NA,NA,NA,NA,NA,NA,NA,NA,Curaçao
6,Clepticus parrae,NA,NA,NA,NA,0.0905837,0.001,NA,NA,NA,NA,NA,NA,Curaçao
7,Chromis insolata,NA,NA,NA,NA,0.065974593,0.001,NA,NA,NA,NA,NA,NA,Curaçao
8,Paranthias furcifer,NA,NA,NA,NA,0.062186849,0.001,NA,NA,NA,NA,NA,NA,Curaçao
9,Bullisichthys caribbaeus,NA,NA,NA,NA,NA,NA,NA,NA,0.063321101,0.001,NA,NA,Curaçao
10,Antilligobius nikkiae,NA,NA,NA,NA,NA,NA,NA,NA,0.059819215,0.001,NA,NA,Curaçao
11,Pronotogrammus martinicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.076420594,0.001,Curaçao
12,Chromis cyanea,NA,NA,0.098073055,0.013,NA,NA,NA,NA,NA,NA,NA,NA,Bonaire
13,Stegastes partitus,NA,NA,0.057497207,0.002,NA,NA,NA,NA,NA,NA,NA,NA,Bonaire
14,Chromis cyanea,NA,NA,NA,NA,0.164186468,0.001,NA,NA,NA,NA,NA,NA,Bonaire
15,Stegastes partitus,NA,NA,NA,NA,0.093232056,0.001,NA,NA,NA,NA,NA,NA,Bonaire
16,Paroncheilus affinis,NA,NA,NA,NA,NA,NA,NA,NA,0.082679758,0.001,NA,NA,Bonaire
17,Antilligobius nikkiae,NA,NA,NA,NA,NA,NA,NA,NA,0.057336707,0.002,NA,NA,Bonaire
18,Chromis enchrysura,NA,NA,NA,NA,NA,NA,NA,NA,0.056539644,0.001,NA,NA,Bonaire
19,Pronotogrammus martinicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137263585,0.001,Bonaire
20,Serranus phoebe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051704749,0.002,Bonaire
21,Chromis insolata,NA,NA,0.081926965,0.005,NA,NA,NA,NA,NA,NA,NA,NA,Statia
22,Serranus tortugarum,NA,NA,0.051019695,0.014,NA,NA,NA,NA,NA,NA,NA,NA,Statia
23,Chromis insolata,NA,NA,NA,NA,0.112490327,0.001,NA,NA,NA,NA,NA,NA,Statia
24,Serranus tortugarum,NA,NA,NA,NA,0.066957679,0.001,NA,NA,NA,NA,NA,NA,Statia
25,Chromis cyanea,NA,NA,NA,NA,0.062659334,0.001,NA,NA,NA,NA,NA,NA,Statia
26,Bullisichthys caribbaeus,NA,NA,NA,NA,NA,NA,0.095891112,0.018,NA,NA,NA,NA,Statia
27,Antilligobius nikkiae,NA,NA,NA,NA,NA,NA,NA,NA,0.200895104,0.001,NA,NA,Statia
28,Bullisichthys caribbaeus,NA,NA,NA,NA,NA,NA,NA,NA,0.13987963,0.001,NA,NA,Statia
29,Antilligobius nikkiae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130801803,0.004,Statia
30,Palatogobius incendius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.096566327,0.002,Statia
31,Pronotogrammus martinicensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.053098391,0.003,Statia
32,Chromis insolata,0.09171507,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
33,Coryphopterus personatus,0.055816806,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
34,Clepticus parrae,0.054339945,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
35,Chromis insolata,NA,NA,0.104582538,0.001,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
36,Canthigaster rostrata,NA,NA,0.07472118,0.003,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
37,Coryphopterus personatus,NA,NA,0.060875728,0.002,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
38,Clepticus parrae,NA,NA,0.059008618,0.001,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
39,Gramma melacara,NA,NA,0.054079834,0.001,NA,NA,NA,NA,NA,NA,NA,NA,Roatan
40,Chromis insolata,NA,NA,NA,NA,0.12015914,0.001,NA,NA,NA,NA,NA,NA,Roatan
41,Canthigaster rostrata,NA,NA,NA,NA,0.086434182,0.001,NA,NA,NA,NA,NA,NA,Roatan
42,Coryphopterus personatus,NA,NA,NA,NA,0.069136501,0.001,NA,NA,NA,NA,NA,NA,Roatan
43,Clepticus parrae,NA,NA,NA,NA,0.066577853,0.001,NA,NA,NA,NA,NA,NA,Roatan
44,Gramma melacara,NA,NA,NA,NA,0.060937169,0.001,NA,NA,NA,NA,NA,NA,Roatan
45,Canthigaster rostrata,NA,NA,NA,NA,NA,NA,0.062507604,0.028,NA,NA,NA,NA,Roatan
46,Antilligobius nikkiae,NA,NA,NA,NA,NA,NA,NA,NA,0.088252546,0.001,NA,NA,Roatan
47,Canthigaster rostrata,NA,NA,NA,NA,NA,NA,NA,NA,0.086256155,0.001,NA,NA,Roatan
48,Palatogobius incendius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199849207,0.001,Roatan
