species,Benthic macroalgae,Benthic microalgae,Bony fishes,Detritus,Ectoparasites,Hard corals,Insects,Mobile benthic crustacea (shrimps/crabs),Mobile benthic gastropods/bivalves,Mobile benthic worms,Octopus/squid/cuttlefish,Pelagic crustacea,Pelagic fish eggs,Pelagic fish larvae,Pelagic jellyfish/ctenophores,Phytoplankton,Sea snakes/mammals/turtles/birds,Sea-stars/cucumbers/urchins,Sessile crustacea,Sessile molluscs,Sessile worms,Sharks/rays,Soft corals/hydroids,Sponges/seasquirts/bryozoa,Terrestrial plants,Zooplankton
Acanthuridae,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus chirurgus,x,x,,x,,,,,,,,,,,,,,,,,,,,,,
Acanthurus coeruleus,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus guttatus,,x,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus pyroferus,,,,x,,,,,,,,,,,,,,,,,,,,,,
Acanthurus sohal,,x,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus tractus,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Naso lituratus,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Zebrasoma desjardinii,,x,,,,,,,,,,,,,,,,,,,,,,,,
Zebrasoma flavescens,,x,,,,,,,,,,,,,,,,,,,,,,,,
Zebrasoma scopas,,x,,,,,,,,,,,,,,,,,,,,,,,,
Zebrasoma velifer,,x,,,,,,,,,,,,,,,,,,,,,,,,
Zebrasoma xanthurum,,x,,,,,,,,,,,,,,,,,,,,,,,,
Achiridae,,,,,,,,,,,,,,,,,,,,,,,,,,
Achirus achirus,,,x,,,,,x,,,,,,,,,,,,,,,,,,
Achirus declivis,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
Achirus lineatus,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
Apionichthys dumerili,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Gymnachirus melas,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Gymnachirus nudus,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Gymnachirus texae,,,x,,,,,x,x,x,,,,,,,,,,,,,,,,
Trinectes inscriptus,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Trinectes maculatus,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Trinectes microphthalmus,,,,,,,,x,,x,,,,,,,,,,,,,,,,
Trinectes paulistanus,,,,,,,x,x,,,,,,,,,,,,,,,,,,
Acipenseridae,,,,,,,,,,,,,,,,,,,,,,,,,,
Acipenser brevirostrum,,,,,,,x,x,,x,,,,,,,,,,,,,,,,
Acipenser oxyrinchus,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,
Scaphirhynchus albus,,,x,,,,x,,,,,,,,,,,,,,,,,,,
Acropomatidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Synagrops bellus,,,x,,,,,,,,x,x,,,,,,,,,,,,x,,
Synagrops pseudomicrolepis,,,x,,,,,,,,x,,,,,,,,,,,,,,,
Synagrops spinosus,,,x,,,,,,,,x,,,,,,,,,,,,,,,x
Synagrops trispinosus,,,x,,,,,,,,x,,,,,,,,,,,,,,,x
Verilus sordidus,,,x,,,,,,,,x,,,,,,,,,,,,,,,
Aetobatidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Aetobatus narinari,,,x,,,,,x,x,x,x,,,,,,,,x,,x,,,,,
Albulidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Albula goreensis,,,x,,,,,x,x,x,x,,,,,,,,,,,,,,,
Albula nemoptera,,,x,,,,,x,x,x,x,,,,,,,,,,,,,,,
Albula vulpes,,,x,,,,,x,x,x,x,,,,,,,,,,,,,,,
Alopiidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Alopias superciliosus,,,x,,,,,,,,x,,,,,,,,,,,,,,,
Alopias vulpinus,,,x,,,,,,,,x,x,,,,,x,,,,,x,,,,
Ammodytidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Protammodytes sarisa,,,x,,,,,,,,,,,,,,,,,,,,,,,x
Anablepidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Anableps anableps,,,x,,,,x,x,,,,,,,,x,,,,,,,,,,
Anableps microlepis,,,x,,,,x,x,,,,,,,,x,,,,,,,,,,
Anacanthobatidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Schroederobatis americana,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
Springeria folirostris,,x,,,,,,x,,x,,,,,,,,,,,,,,,,
Springeria longirostris,,,x,,,,,x,,x,,,,,,,,,,,,,,,,
Anguillidae,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla rostrata,,,x,,,,x,x,x,x,,,,,,,,,,,,,,,,
Anomalopidae,,,,,,,,,,,,,,,,,,,,,,,,,,
