species,Benthic,Brooded,Live birth,No pelagic larva,No pelagic phase,Pelagic,Pelagic larva
Acanthuridae,,,,,,,
Acanthurus chirurgus,,,,,,x,x
Acanthurus coeruleus,,,,,,x,x
Acanthurus guttatus,,,,,,x,x
Acanthurus pyroferus,,,,,,x,x
Acanthurus sohal,,,,,,x,x
Acanthurus tractus,,,,,,x,x
Naso lituratus,,,,,,x,x
Zebrasoma desjardinii,,,,,,x,x
Zebrasoma flavescens,,,,,,x,x
Zebrasoma scopas,,,,,,x,x
Zebrasoma velifer,,,,,,x,x
Zebrasoma xanthurum,,,,,x,,x
Achiridae,,,,,,,
Achirus achirus,,,,,,x,x
Achirus declivis,,,,,,x,x
Achirus lineatus,,,,,,x,x
Apionichthys dumerili,,,,,,x,x
Gymnachirus melas,,,,,,x,x
Gymnachirus nudus,,,,,,x,x
Gymnachirus texae,,,,,,x,x
Trinectes inscriptus,,,,,,x,x
Trinectes maculatus,,,,,,x,x
Trinectes microphthalmus,,,,,,x,x
Trinectes paulistanus,,,,,,x,x
Acipenseridae,,,,,,,
Acipenser brevirostrum,x,,,x,,,
Acipenser oxyrinchus,x,,,x,,,
Scaphirhynchus albus,x,,,x,,,
Acropomatidae,,,,,,,
Synagrops bellus,,,,,,x,x
Synagrops pseudomicrolepis,,,,,,x,x
Synagrops spinosus,,,,,,x,x
Synagrops trispinosus,,,,,,x,x
Verilus sordidus,,,,,x,,x
Aetobatidae,,,,,,,
Aetobatus narinari,,,x,x,,,
Albulidae,,,,,,,
Albula goreensis,,,,,,x,x
Albula nemoptera,,,,,,x,x
Albula vulpes,,,,,,x,x
Alopiidae,,,,,,,
Alopias superciliosus,,,x,x,,,
Alopias vulpinus,,,x,x,,,
Ammodytidae,,,,,,,
Protammodytes sarisa,x,,,,,x,
Anablepidae,,,,,,,
Anableps anableps,,,x,x,x,,
Anableps microlepis,,,x,x,x,,
Anacanthobatidae,,,,,,,
Schroederobatis americana,x,,,,x,,
Springeria folirostris,x,,,,x,,
Springeria longirostris,x,,,x,x,,
Anguillidae,,,,,,,
Anguilla rostrata,,,,,,x,x
Anomalopidae,,,,,,,
Kryptophanaron alfredi,,,,,,x,x
Antennariidae,,,,,,,
Antennarius multiocellatus,,,,,,x,x
Antennarius pauciradiatus,,,,,,x,x
Antennarius scaber,,,,,,x,x
Antennatus bermudensis,,,,,,x,x
Fowlerichthys ocellatus,,,,,,x,x
Fowlerichthys radiosus,,,,,,x,x
Histrio histrio,,,,x,,x,
Apogonidae,,,,,,,
Apogon aurolineatus,,x,,,,,x
Apogon binotatus,,x,,,,,x
Apogon gouldi,,x,,,,,x
Apogon lachneri,,,,,,x,x
Apogon leptocaulus,,,,,,x,x
Apogon maculatus,,x,,,,,x
Apogon mosavi,,x,,,,,x
Apogon phenax,,x,,,,,x
Apogon pillionatus,,x,,,,,x
Apogon planifrons,,x,,,,,x
Apogon pseudomaculatus,,x,,,,,x
Apogon quadrisquamatus,,x,,,,,x
Apogon robbyi,,x,,,,,x
Apogon robinsi,,x,,,,,x
Apogon townsendi,,x,,,,,x
Astrapogon alutus,,x,,,,,x
Astrapogon puncticulatus,x,,,,,,x
Astrapogon stellatus,,x,,,,,x
Paroncheilus affinis,,x,,,,,x
Phaeoptyx conklini,,x,,,,,x
Phaeoptyx pigmentaria,,x,,,,,x
Phaeoptyx xenus,,x,,,,,x
Zapogon evermanni,,x,,,,,x
Argentinidae,,,,,,,
Argentina striata,,,,,,x,x
Glossanodon pygmaeus,,,,,,x,x
Arhynchobatidae,,,,,,,
Pseudoraja fischeri,x,,,x,x,,
Ariidae,,,,,,,
Ariopsis assimilis,,x,,x,x,,
Ariopsis canteri,,x,,x,x,,
Ariopsis felis,,x,,x,x,,
Bagre bagre,,x,,x,x,,
Bagre marinus,,x,,x,x,,
Cathorops aguadulce,,x,,x,x,,
Cathorops arenatus,,x,,x,x,,
Cathorops belizensis,,x,,x,x,,
Cathorops higuchii,,x,,x,x,,
Cathorops kailolae,,x,,x,x,,
Cathorops mapale,,x,,x,x,,
Cathorops melanopus,,x,,x,x,,
Cathorops nuchalis,,x,,x,,,
Cathorops wayuu,,x,,,,,
Notarius grandicassis,,x,,x,x,,
Notarius neogranatensis,,x,,x,x,,
Notarius phrygiatus,,x,,x,x,,
Notarius quadriscutis,,x,,x,x,,
Notarius rugispinis,,x,,x,x,,
Sciades couma,,x,,x,x,,
Sciades herzbergii,,x,,x,x,,
Sciades parkeri,,x,,x,x,,
Sciades passany,,x,,x,x,,
Sciades proops,,x,,x,x,,
Ariommatidae,,,,,,,
Ariomma bondi,,,,,,x,x
Ariomma melanum,,,,,x,x,x
Ariomma regulus,,,,,,x,x
Aspredinidae,,,,,,,
Aspredinichthys filamentosus,,x,,x,x,,
Aspredo aspredo,,x,,x,x,,
Platystacus cotylephorus,,x,,x,x,,
Atherinidae,,,,,,,
Alepidomus evermanni,x,,,,,,x
Atherina harringtonensis,x,,,,,,x
Atherinomorus stipes,x,,,,,,x
Atherinopsidae,,,,,,,
Atherinella alvarezi,x,,,,,,x
Atherinella beani,x,,,,,,x
Atherinella blackburni,x,,,,,,x
Atherinella brasiliensis,x,,,,,,x
Atherinella chagresi,x,,,,,,x
Atherinella milleri,x,,,,,,x
Atherinella robbersi,x,,,,,,x
Atherinella schultzi,x,,,,,,x
Atherinella species A,x,,,,,,x
Melanorhinus microps,x,,,,,,x
Membras analis,x,,,,,,x
Membras argentea,x,,,,,,x
Membras martinica,x,,,,,,x
Membras species A,x,,,,,,x
Menidia beryllina,x,,,,,,x
Menidia clarkhubbsi,x,,,,,,x
Menidia colei,x,,,,,,x
Menidia conchorum,x,,,,,,x
Menidia menidia,x,,,,,,x
Menidia peninsulae,x,,,,,,x
Menidia species A,x,,,,,,x
Auchenipteridae,,,,,,,
Pseudauchenipterus nodosus,x,,,x,x,,
Aulopidae,,,,,,,
Aulopus filamentosus,,,,,,x,x
Aulostomidae,,,,,,,
Aulostomus maculatus,,,,,,x,x
Balistidae,,,,,,,
Balistes capriscus,x,,,,,,x
Balistes vetula,x,,,,,,x
Balistoides conspicillum,x,,,,,,x
Canthidermis maculata,x,,,,,,x
Canthidermis sufflamen,x,,,,,,x
Melichthys niger,x,,,,,,x
Rhinecanthus aculeatus,x,,,,,,x
Rhinecanthus verrucosus,x,,,,,,x
Xanthichthys ringens,x,,,,,,x
Batrachoididae,,,,,,,
Amphichthys cryptocentrus,x,,,x,x,,
Batrachoides gilberti,x,,,x,x,,
Batrachoides manglae,x,,,x,x,,
Batrachoides surinamensis,x,,,x,x,,
Opsanus beta,x,,,x,,,
Opsanus dichrostomus,x,,,x,,,
Opsanus pardus,x,,,x,x,,
Opsanus phobetron,x,,,x,x,,
Opsanus tau,x,,,x,x,,
Porichthys bathoiketes,x,,,x,x,,
Porichthys oculofrenum,x,,,x,x,,
Porichthys pauciradiatus,x,,,x,x,,
Porichthys plectrodon,x,,,x,x,,
Sanopus astrifer,x,,,x,x,,
Sanopus barbatus,x,,,x,,,
Sanopus greenfieldorum,x,,,x,x,,
Sanopus johnsoni,x,,,x,x,,
Sanopus reticulatus,x,,,x,x,,
Sanopus splendidus,x,,,x,x,,
Thalassophryne maculosa,x,,,x,x,,
Thalassophryne megalops,x,,,x,x,,
Thalassophryne nattereri,x,,,x,x,,
Vladichthys gloverensis,x,,,x,x,,
Belonidae,,,,,,,
Ablennes hians,x,,,,,,x
Platybelone argalus argalus,x,,,,,,x
Strongylura marina,x,,,,x,,x
Strongylura notata,x,,,,,,x
Strongylura timucu,x,,,,,,x
Tylosurus acus acus,x,,,,,,x
Tylosurus crocodilus crocodilus,x,,,,,,x
Berycidae,,,,,,,
Beryx decadactylus,,,,,,x,x
Beryx splendens,,,,,,x,x
Blenniidae,,,,,,,
