species,Bottom,Mid Water,Near Bottom,Near Surface,Surface
Acanthuridae,,,,,
Acanthurus chirurgus,x,,,,
Acanthurus coeruleus,x,,,,
Acanthurus guttatus,x,,,,
Acanthurus pyroferus,x,,,,
Acanthurus sohal,x,,,,
Acanthurus tractus,x,,,,
Naso lituratus,x,,,,
Zebrasoma desjardinii,x,,,,
Zebrasoma flavescens,x,,,,
Zebrasoma scopas,x,,,,
Zebrasoma velifer,x,,,,
Zebrasoma xanthurum,x,,,,
Achiridae,,,,,
Achirus achirus,x,,,,
Achirus declivis,x,,,,
Achirus lineatus,x,,,,
Apionichthys dumerili,x,,,,
Gymnachirus melas,x,,,,
Gymnachirus nudus,x,,,,
Gymnachirus texae,x,,,,
Trinectes inscriptus,x,,,,
Trinectes maculatus,x,,,,
Trinectes microphthalmus,x,,,,
Trinectes paulistanus,x,,,,
Acipenseridae,,,,,
Acipenser brevirostrum,x,,,,
Acipenser oxyrinchus,x,,,,
Scaphirhynchus albus,x,,,,
Acropomatidae,,,,,
Synagrops bellus,x,x,x,,
Synagrops pseudomicrolepis,x,x,x,,
Synagrops spinosus,x,x,x,,
Synagrops trispinosus,x,x,x,,
Verilus sordidus,x,,,,
Aetobatidae,,,,,
Aetobatus narinari,x,x,x,,
Albulidae,,,,,
Albula goreensis,x,,,,
Albula nemoptera,x,,x,,
Albula vulpes,x,,x,,
Alopiidae,,,,,
Alopias superciliosus,,x,,x,x
Alopias vulpinus,,x,,x,x
Ammodytidae,,,,,
Protammodytes sarisa,x,x,x,,
Anablepidae,,,,,
Anableps anableps,x,x,x,x,x
Anableps microlepis,x,x,x,x,x
Anacanthobatidae,,,,,
Schroederobatis americana,x,,,,
Springeria folirostris,x,,,,
Springeria longirostris,x,,,,
Anguillidae,,,,,
Anguilla rostrata,x,,,,
Anomalopidae,,,,,
Kryptophanaron alfredi,x,,x,,
Antennariidae,,,,,
Antennarius multiocellatus,x,,,,
Antennarius pauciradiatus,x,,,,
Antennarius scaber,x,,,,
Antennatus bermudensis,x,,,,
Fowlerichthys ocellatus,x,,,,
Fowlerichthys radiosus,x,,,,
