species,Size cm
Acanthuridae,
Acanthurus chirurgus,34
Acanthurus coeruleus,36
Acanthurus guttatus,26
Acanthurus pyroferus,29
Acanthurus sohal,40
Acanthurus tractus,35
Naso lituratus,45
Zebrasoma desjardinii,40
Zebrasoma flavescens,20
Zebrasoma scopas,22
Zebrasoma velifer,40
Zebrasoma xanthurum,22
Achiridae,
Achirus achirus,37
Achirus declivis,18
Achirus lineatus,23
Apionichthys dumerili,15
Gymnachirus melas,20
Gymnachirus nudus,20
Gymnachirus texae,15
Trinectes inscriptus,15
Trinectes maculatus,21.2
Trinectes microphthalmus,9
Trinectes paulistanus,18
Acipenseridae,
Acipenser brevirostrum,143
Acipenser oxyrinchus,403
Scaphirhynchus albus,168
Acropomatidae,
Synagrops bellus,46
Synagrops pseudomicrolepis,18
Synagrops spinosus,16.5
Synagrops trispinosus,13.7
Verilus sordidus,46
Aetobatidae,
Aetobatus narinari,230
Albulidae,
Albula goreensis,42
Albula nemoptera,60
Albula vulpes,77
Alopiidae,
Alopias superciliosus,484
Alopias vulpinus,575
Ammodytidae,
Protammodytes sarisa,12
Anablepidae,
Anableps anableps,30
Anableps microlepis,32
Anacanthobatidae,
Schroederobatis americana,38
Springeria folirostris,62
Springeria longirostris,78
Anguillidae,
Anguilla rostrata,150
Anomalopidae,
Kryptophanaron alfredi,13.8
Antennariidae,
Antennarius multiocellatus,14.3
Antennarius pauciradiatus,5.6
Antennarius scaber,21
Antennatus bermudensis,7.7
Fowlerichthys ocellatus,42
Fowlerichthys radiosus,25
Histrio histrio,20
Apogonidae,
Apogon aurolineatus,6.5
Apogon binotatus,15
Apogon gouldi,10.4
Apogon lachneri,6.5
Apogon leptocaulus,6
Apogon maculatus,11.1
Apogon mosavi,4.3
Apogon phenax,8.1
Apogon pillionatus,6.5
Apogon planifrons,10.5
Apogon pseudomaculatus,11
Apogon quadrisquamatus,7.8
Apogon robbyi,4.8
Apogon robinsi,10.1
Apogon townsendi,8.5
Astrapogon alutus,6.5
Astrapogon puncticulatus,10
Astrapogon stellatus,8
Paroncheilus affinis,11
Phaeoptyx conklini,9
Phaeoptyx pigmentaria,8
Phaeoptyx xenus,7.5
Zapogon evermanni,15
Argentinidae,
Argentina striata,21
Glossanodon pygmaeus,12.8
Arhynchobatidae,
Pseudoraja fischeri,58
Ariidae,
Ariopsis assimilis,35
Ariopsis canteri,60
Ariopsis felis,70
Bagre bagre,55
Bagre marinus,69
Cathorops aguadulce,29
Cathorops arenatus,22.8
Cathorops belizensis,32
Cathorops higuchii,35
Cathorops kailolae,35
Cathorops mapale,30.6
Cathorops melanopus,30
Cathorops nuchalis,30
Cathorops wayuu,39.5
Notarius grandicassis,90
Notarius neogranatensis,36.2
Notarius phrygiatus,30
Notarius quadriscutis,50
Notarius rugispinis,45
Sciades couma,100
Sciades herzbergii,55
Sciades parkeri,190
Sciades passany,100
Sciades proops,100
Ariommatidae,
Ariomma bondi,30
Ariomma melanum,25
Ariomma regulus,20
Aspredinidae,
Aspredinichthys filamentosus,22
Aspredo aspredo,40
Platystacus cotylephorus,20
Atherinidae,
Alepidomus evermanni,6.2
Atherina harringtonensis,10
Atherinomorus stipes,10
Atherinopsidae,
Atherinella alvarezi,9.8
Atherinella beani,10
Atherinella blackburni,13
Atherinella brasiliensis,16
Atherinella chagresi,11.5
Atherinella milleri,14
Atherinella robbersi,7.5
Atherinella schultzi,9.7
Atherinella species A,12.5
Melanorhinus microps,9.3
Membras analis,7.2
Membras argentea,5.7
Membras martinica,15
Membras species A,6
Menidia beryllina,10
Menidia clarkhubbsi,10
Menidia colei,5.8
Menidia conchorum,6.1
Menidia menidia,17.8
Menidia peninsulae,18.3
Menidia species A,5.2
Auchenipteridae,
Pseudauchenipterus nodosus,30
Aulopidae,
Aulopus filamentosus,51
Aulostomidae,
Aulostomus maculatus,100
Balistidae,
Balistes capriscus,63
Balistes vetula,50
Balistoides conspicillum,50
Canthidermis maculata,50
Canthidermis sufflamen,65
Melichthys niger,50
Rhinecanthus aculeatus,30
Rhinecanthus verrucosus,23
Xanthichthys ringens,25
Batrachoididae,
Amphichthys cryptocentrus,34
Batrachoides gilberti,27
Batrachoides manglae,30
Batrachoides surinamensis,57
Opsanus beta,38
Opsanus dichrostomus,15
Opsanus pardus,39
Opsanus phobetron,21.5
Opsanus tau,47.4
Porichthys bathoiketes,16
Porichthys oculofrenum,11
Porichthys pauciradiatus,7.4
Porichthys plectrodon,29
Sanopus astrifer,27.8
Sanopus barbatus,41
Sanopus greenfieldorum,31
Sanopus johnsoni,30
Sanopus reticulatus,42
Sanopus splendidus,29
Thalassophryne maculosa,18
Thalassophryne megalops,7.8
Thalassophryne nattereri,17.5
Vladichthys gloverensis,6.8
Belonidae,
Ablennes hians,120
Platybelone argalus argalus,50
Strongylura marina,73
Strongylura notata,45
Strongylura timucu,46
Tylosurus acus acus,140
Tylosurus crocodilus crocodilus,125
Berycidae,
Beryx decadactylus,82
Beryx splendens,70
Blenniidae,
Chasmodes bosquianus,15
Chasmodes longimaxilla,9.4
Chasmodes saburrae,9.2
Entomacrodus nigricans,10
Hypleurochilus bermudensis,12
Hypleurochilus caudovittatus,7
Hypleurochilus geminatus,10.5
Hypleurochilus multifilis,10
Hypleurochilus pseudoaequipinnis,7.5
Hypleurochilus springeri,6.4
Hypsoblennius exstochilus,6.3
Hypsoblennius hentz,12
Hypsoblennius invemar,5.8
Hypsoblennius ionthas,8.4
Lupinoblennius nicholsi,6
Lupinoblennius vinctus,3.7
Omobranchus punctatus,11.3
Ophioblennius macclurei,12.5
Parablennius marmoreus,10.8
Scartella cristata,10
Bothidae,
Bothus lunatus,45
