species,Carnivore,Corallivore,Detritivore,Ectoparasite cleaner,Herbivore,Omnivore,Parasitic,Planktivore
Acanthuridae,,,,,,,,
Acanthurus chirurgus,,,x,,x,,,
Acanthurus coeruleus,,,,,x,,,
Acanthurus guttatus,,,,,x,,,
Acanthurus pyroferus,,,x,,,,,
Acanthurus sohal,,,,,x,,,
Acanthurus tractus,,,,,x,,,
Naso lituratus,,,,,x,,,
Zebrasoma desjardinii,,,,,x,,,
Zebrasoma flavescens,,,,,x,,,
Zebrasoma scopas,,,,,x,,,
Zebrasoma velifer,,,,,x,,,
Zebrasoma xanthurum,,,,,x,,,
Achiridae,,,,,,,,
Achirus achirus,x,,,,,,,
Achirus declivis,x,,,,,,,
Achirus lineatus,x,,,,,,,
Apionichthys dumerili,x,,,,,,,
Gymnachirus melas,x,,,,,,,
Gymnachirus nudus,x,,,,,,,
Gymnachirus texae,x,,,,,,,
Trinectes inscriptus,x,,,,,,,
Trinectes maculatus,x,,,,,,,
Trinectes microphthalmus,x,,,,,,,
Trinectes paulistanus,x,,,,,,,
Acipenseridae,,,,,,,,
Acipenser brevirostrum,x,,,,,,,
Acipenser oxyrinchus,x,,,,,,,
Scaphirhynchus albus,x,,,,,,,
Acropomatidae,,,,,,,,
Synagrops bellus,x,,,,,,,x
Synagrops pseudomicrolepis,x,,,,,,,
Synagrops spinosus,x,,,,,,,x
Synagrops trispinosus,x,,,,,,,x
Verilus sordidus,x,,,,,,,
Aetobatidae,,,,,,,,
Aetobatus narinari,x,,,,,,,
Albulidae,,,,,,,,
Albula goreensis,x,,,,,,,
Albula nemoptera,x,,,,,,,
Albula vulpes,x,,,,,,,
Alopiidae,,,,,,,,
Alopias superciliosus,x,,,,,,,
Alopias vulpinus,x,,,,,,,
Ammodytidae,,,,,,,,
Protammodytes sarisa,x,,,,,,,x
Anablepidae,,,,,,,,
Anableps anableps,x,,,,,,,x
Anableps microlepis,x,,,,,,,x
Anacanthobatidae,,,,,,,,
Schroederobatis americana,x,,,,,,,
Springeria folirostris,x,,,,,,,
Springeria longirostris,x,,,,,,,
Anguillidae,,,,,,,,
Anguilla rostrata,x,,,,,,,
Anomalopidae,,,,,,,,
Kryptophanaron alfredi,,,,,,,,x
Antennariidae,,,,,,,,
Antennarius multiocellatus,x,,,,,,,
Antennarius pauciradiatus,x,,,,,,,
Antennarius scaber,x,,,,,,,
Antennatus bermudensis,x,,,,,,,
Fowlerichthys ocellatus,x,,,,,,,
Fowlerichthys radiosus,x,,,,,,,
Histrio histrio,x,,,,,,,
Apogonidae,,,,,,,,
Apogon aurolineatus,,,,,,,,x
Apogon binotatus,,,,,,,,x
Apogon gouldi,,,,,,,,x
Apogon lachneri,,,,,,,,x
Apogon leptocaulus,,,,,,,,x
Apogon maculatus,,,,,,,,x
Apogon mosavi,,,,,,,,x
Apogon phenax,,,,,,,,x
Apogon pillionatus,,,,,,,,x
Apogon planifrons,,,,,,,,x
Apogon pseudomaculatus,x,,,,,,,x
Apogon quadrisquamatus,,,,,,,,x
Apogon robbyi,,,,,,,,x
Apogon robinsi,,,,,,,,x
Apogon townsendi,,,,,,,,x
Astrapogon alutus,x,,,,,,,
Astrapogon puncticulatus,x,,,,,,,
Astrapogon stellatus,x,,,,,,,
Paroncheilus affinis,,,,,,,,x
Phaeoptyx conklini,,,,,,,,x
Phaeoptyx pigmentaria,,,,,,,,x
Phaeoptyx xenus,,,,,,,,x
Zapogon evermanni,,,,,,,,x
Argentinidae,,,,,,,,
Argentina striata,x,,,,,,,
Glossanodon pygmaeus,x,,,,,,,
Arhynchobatidae,,,,,,,,
Pseudoraja fischeri,x,,,,,,,
Ariidae,,,,,,,,
Ariopsis assimilis,x,,,,,,,
Ariopsis canteri,x,,,,,,,
Ariopsis felis,x,,,,,,,
Bagre bagre,x,,,,,,,
Bagre marinus,x,,,,,,,
Cathorops aguadulce,x,,,,,,,
Cathorops arenatus,x,,,,,,,
Cathorops belizensis,x,,,,,,,
Cathorops higuchii,x,,,,,,,
Cathorops kailolae,x,,,,,,,
Cathorops mapale,x,,,,,,,
Cathorops melanopus,x,,,,,,,
Cathorops nuchalis,x,,,,,,,
Cathorops wayuu,x,,,,,,,
Notarius grandicassis,x,,,,,,,
Notarius neogranatensis,x,,,,,,,
Notarius phrygiatus,x,,,,,,,
Notarius quadriscutis,x,,,,,,,
Notarius rugispinis,x,,,,,,,
Sciades couma,x,,,,,,,
Sciades herzbergii,x,,,,,,,
Sciades parkeri,x,,,,,,,
Sciades passany,x,,,,,,,
Sciades proops,x,,,,,,,
Ariommatidae,,,,,,,,
Ariomma bondi,x,,,,,,,x
Ariomma melanum,x,,,,,,,x
Ariomma regulus,x,,,,,,,x
Aspredinidae,,,,,,,,
Aspredinichthys filamentosus,x,,,,,,,
Aspredo aspredo,x,,,,,,,
Platystacus cotylephorus,x,,,,,,,
Atherinidae,,,,,,,,
Alepidomus evermanni,,,,,,,,x
Atherina harringtonensis,x,,,,,,,x
Atherinomorus stipes,,,,,,,,x
Atherinopsidae,,,,,,,,
Atherinella alvarezi,,,,,,x,,x
Atherinella beani,,,,,,x,,x
Atherinella blackburni,,,,,,,,x
Atherinella brasiliensis,,,,,,x,,x
Atherinella chagresi,,,,,,x,,x
Atherinella milleri,,,,,,x,,x
Atherinella robbersi,,,,,,x,,x
Atherinella schultzi,,,,,,x,,x
Atherinella species A,,,,,,x,,x
Melanorhinus microps,,,,,,,,x
Membras analis,,,,,,,,x
Membras argentea,,,,,,,,x
Membras martinica,,,,,,,,x
Membras species A,,,,,,,,x
Menidia beryllina,x,,,,,,,x
Menidia clarkhubbsi,x,,,,,,,x
Menidia colei,x,,,,,,,x
Menidia conchorum,x,,,,,,,x
Menidia menidia,x,,,,,,,x
Menidia peninsulae,x,,,,,,,x
Menidia species A,x,,,,,,,x
Auchenipteridae,,,,,,,,
Pseudauchenipterus nodosus,,,x,,,,,
Aulopidae,,,,,,,,
Aulopus filamentosus,x,,,,,,,
Aulostomidae,,,,,,,,
Aulostomus maculatus,x,,,,,,,
Balistidae,,,,,,,,
Balistes capriscus,x,,,,,,,
Balistes vetula,x,x,,,,,,
Balistoides conspicillum,x,,,,,,,
Canthidermis maculata,x,,,,,,,x
Canthidermis sufflamen,x,x,,,,,,x
Melichthys niger,,x,,,,x,,x
Rhinecanthus aculeatus,,x,,,,x,,x
Rhinecanthus verrucosus,,,,,,x,,x
Xanthichthys ringens,x,,,,,,,x
Batrachoididae,,,,,,,,
Amphichthys cryptocentrus,x,,,,,,,
Batrachoides gilberti,x,,,,,,,
Batrachoides manglae,x,,,,,,,
Batrachoides surinamensis,x,,,,,,,
Opsanus beta,x,,,,,,,
Opsanus dichrostomus,x,,,,,,,
Opsanus pardus,x,,,,,,,
Opsanus phobetron,x,,,,,,,
Opsanus tau,x,,,,,,,
Porichthys bathoiketes,x,,,,,,,
Porichthys oculofrenum,x,,,,,,,
Porichthys pauciradiatus,x,,,,,,,
Porichthys plectrodon,x,,,,,,,
Sanopus astrifer,x,,,,,,,
Sanopus barbatus,x,,,,,,,
Sanopus greenfieldorum,x,,,,,,,
Sanopus johnsoni,x,,,,,,,
Sanopus reticulatus,x,,,,,,,
Sanopus splendidus,x,,,,,,,
Thalassophryne maculosa,x,,,,,,,
Thalassophryne megalops,x,,,,,,,
Thalassophryne nattereri,x,,,,,,,
Vladichthys gloverensis,x,,,,,,,
Belonidae,,,,,,,,
Ablennes hians,x,,,,,,,
Platybelone argalus argalus,x,,,,,,,
Strongylura marina,x,,,,,,,x
Strongylura notata,x,,,,,,,x
Strongylura timucu,x,,,,,,,
Tylosurus acus acus,x,,,,,,,x
Tylosurus crocodilus crocodilus,x,,,,,,,x
Berycidae,,,,,,,,
Beryx decadactylus,x,,,,,,,
