,species,bonaire,curacao,statia,roatan
1,Acanthostracion polygonius,NA,NA,1,NA
2,Acanthostracion quadricornis,NA,NA,1,1
3,Acanthurus chirurgus,NA,NA,1,NA
4,Acanthurus coeruleus,1,NA,1,1
5,Acanthurus tractus,1,NA,1,NA
6,Anisotremus surinamensis,1,NA,NA,NA
7,Anthias asperilinguis,NA,1,NA,1
8,Antigonia capros,NA,1,1,NA
9,Antilligobius nikkiae,1,1,1,1
10,Apogon gouldi,1,1,NA,1
11,Apogon lachneri,NA,NA,NA,1
12,Apogon maculatus,1,NA,NA,NA
13,Apogon pillionatus,NA,NA,1,NA
14,Apogon pseudomaculatus,1,NA,NA,NA
15,Apsilus dentatus,NA,NA,NA,1
16,Aulopus filamentosus,NA,NA,NA,1
17,Baldwinella vivanus,1,1,1,NA
18,Bathyanthias sp.,1,NA,1,NA
19,Bellator brachychir,1,1,NA,NA
20,Bellator egretta,1,1,1,NA
21,Bembrops sp.,NA,NA,NA,1
22,Bodianus pulchellus,NA,NA,NA,1
23,Bodianus rufus,1,NA,1,1
24,Bollmannia boqueronensis,1,NA,NA,NA
25,Bollmannia eigenmanni,1,NA,NA,NA
26,Brotula barbata,NA,NA,1,NA
27,Bullisichthys caribbaeus,1,1,1,1
28,Canthidermis sufflamen,NA,NA,1,NA
29,Canthigaster jamestyleri,1,1,NA,1
30,Canthigaster rostrata,1,NA,1,1
31,Carangoides bartholomaei,1,NA,NA,NA
32,Carangoides ruber,1,NA,1,1
33,Caranx latus,1,NA,NA,NA
34,Caranx lugubris,NA,NA,1,1
35,Caulolatilus dooleyi,1,NA,NA,NA
36,Caulolatilus plumieri,1,NA,NA,NA
37,Centropristis fuscula,NA,1,1,NA
38,Centropyge argi,1,1,1,1
39,Cephalopholis cruentata,1,1,1,1
40,Cephalopholis fulva,NA,NA,1,NA
41,Chaetodon capistratus,NA,1,1,1
42,Chaetodon ocellatus,NA,NA,NA,1
43,Chaetodon sedentarius,1,NA,1,1
44,Chaetodon striatus,1,NA,1,1
45,Chaunax pictus,NA,1,NA,1
46,Choranthias tenuis,1,1,NA,NA
47,Chrionema squamentum,1,1,1,1
48,Chromis cyanea,1,1,1,1
49,Chromis enchrysura,1,1,1,1
50,Chromis insolata,1,1,1,1
51,Chromis multilineata,1,1,1,NA
52,Chromis scotti,1,1,1,1
53,Clepticus parrae,1,1,1,1
54,Corniger spinosus,1,1,1,1
55,Coryphopterus curasub,1,1,NA,NA
56,Coryphopterus personatus,NA,NA,NA,1
57,Decapterus sp.,NA,NA,NA,1
58,Decodon puellaris,NA,1,1,NA
59,Decodon shallow,1,1,1,NA
60,Derilissus lombardii,NA,NA,1,NA
61,Elacatinus chancei,NA,NA,1,1
62,Epigonidae,NA,NA,NA,1
63,Epinephalus striatus,NA,NA,NA,1
64,Epinephelus adscensionis,NA,NA,1,NA
65,Epinephelus guttatus,NA,NA,1,NA
66,Equetus lanceolatus,1,NA,1,NA
67,Etelis oculatus,NA,NA,NA,1
68,Fistularia sp.,1,NA,1,NA
69,Flammeo marianus,1,1,1,1
70,Foetorepus agassizii,NA,1,NA,NA
71,Gastropsetta frontalis,NA,NA,1,NA
72,Gephyroberyx darwinii,NA,1,NA,1
73,Gnatholepis thompsoni,1,NA,1,1
74,Gonioplectrus hispanus,1,1,1,1
75,Gramma linki,NA,NA,1,1
76,Gramma loreto,1,1,NA,1
77,Gramma melacara,NA,NA,NA,1
78,Gymnothorax funebris,1,NA,NA,NA
79,Gymnothorax moringa,1,NA,NA,NA
80,Gymnothorax ocellatus,1,NA,1,NA
81,Haemulon bonariense,NA,NA,NA,1
82,Haemulon chrysargyreum,1,NA,NA,NA
83,Haemulon flavolineatum,1,1,NA,1
84,Haemulon plumierii,NA,NA,NA,1
85,Haemulon striatum,1,1,1,1
86,Haemulon vittata,NA,1,NA,NA
87,Halichoeres bathyphilus,1,NA,1,NA
88,Halichoeres garnoti,1,NA,1,1
89,Halichoeres maculipinna,NA,NA,NA,1
90,Halichoeres pictus,NA,NA,NA,1
91,Haptoclinus dropi,NA,1,NA,NA
92,Hemanthias leptus,1,1,NA,NA
93,Heteropriacanthus cruentatus,NA,NA,NA,1
94,Holacanthus ciliaris,1,NA,1,1
95,Holacanthus tricolor,NA,NA,1,1
96,Holocentrus adscensionis,1,NA,1,NA
97,Holocentrus rufus,NA,NA,1,1
98,Hypoplectrus chlorurus,1,NA,NA,NA
99,Hypoplectrus indigo,NA,NA,1,NA
100,Hypoplectrus nigricans,NA,NA,NA,1
101,Hypoplectrus puella,NA,NA,1,NA
102,Hyporthodus niveatus,1,NA,NA,NA
103,Jeboehlkia gladifer,1,1,NA,1
104,Lachnolaimus maximus,NA,NA,NA,1
105,Lactophrys trigonus,NA,NA,NA,1
106,Lactophrys triqueter,1,NA,NA,NA
107,Liopropoma aberrans,1,1,NA,1
108,Liopropoma carmabi,1,NA,1,NA
109,Liopropoma mowbrayi,1,1,1,1
110,Liopropoma olneyi,1,1,1,1
111,Liopropoma santi,NA,1,NA,1
112,Lipogramma barrettorum,NA,1,NA,NA
113,Lipogramma evides,1,1,1,1
114,Lipogramma flavescens,NA,NA,NA,1
115,Lipogramma haberi,NA,1,NA,NA
116,Lipogramma idabeli,NA,NA,NA,1
117,Lipogramma klayi,1,1,1,1
118,Lipogramma levinsoni,1,1,1,1
