"","species","dband","location","abundance","X","m","COEF","abu.corr"
"1","Abudefduf saxatilis",10,"Roatan",191,54,"m",2.225,424.975
"2","Abudefduf saxatilis",20,"Roatan",18,55,"m",1.934782609,34.826086962
"3","Acanthostracion polygonius",60,"St. Eustatius",1,102,"m",6.826086957,6.826086957
"4","Acanthostracion polygonius",70,"St. Eustatius",1,101,"m",5.971062422,5.971062422
"5","Acanthostracion quadricornis",60,"Roatan",1,59,"m",1.893617021,1.893617021
"6","Acanthostracion quadricornis",80,"St. Eustatius",1,100,"m",3.768327681,3.768327681
"7","Acanthurus chirurgus",10,"Roatan",23,54,"m",2.225,51.175
"8","Acanthurus chirurgus",20,"Roatan",3,55,"m",1.934782609,5.804347827
"9","Acanthurus chirurgus",30,"Roatan",1,56,"m",1.034883721,1.034883721
"10","Acanthurus chirurgus",40,"St. Eustatius",1,104,"m",10.87650602,10.87650602
"11","Acanthurus coeruleus",10,"Roatan",163,54,"m",2.225,362.675
"12","Acanthurus coeruleus",20,"Roatan",4,55,"m",1.934782609,7.739130436
"13","Acanthurus coeruleus",30,"Roatan",3,56,"m",1.034883721,3.104651163
"14","Acanthurus coeruleus",40,"Bonaire",1,21,"m",1.139215137,1.139215137
"15","Acanthurus coeruleus",40,"Roatan",3,57,"m",1.1125,3.3375
"16","Acanthurus coeruleus",40,"St. Eustatius",1,104,"m",10.87650602,10.87650602
"17","Acanthurus coeruleus",50,"Bonaire",1,22,"m",0.999995899,0.999995899
"18","Acanthurus coeruleus",60,"Roatan",1,59,"m",1.893617021,1.893617021
"19","Acanthurus tractus",30,"Roatan",2,56,"m",1.034883721,2.069767442
"20","Acanthurus tractus",50,"Bonaire",1,22,"m",0.999995899,0.999995899
"21","Acanthurus tractus",50,"St. Eustatius",1,103,"m",15.20421053,15.20421053
"22","Anisotremus surinamensis",40,"Bonaire",1,21,"m",1.139215137,1.139215137
"23","Anisotremus virginicus",10,"Roatan",2,54,"m",2.225,4.45
"24","Anisotremus virginicus",20,"Roatan",1,55,"m",1.934782609,1.934782609
"25","Anthias asperilinguis",90,"Curacao",1,53,"m",1.187769118,1.187769118
"26","Anthias asperilinguis",120,"Curacao",2,29,"m",1.127104229,2.254208458
"27","Anthias asperilinguis",220,"Curacao",3,39,"m",1.136560242,3.409680726
"28","Anthias asperilinguis",230,"Curacao",2,40,"m",1.644295347,3.288590694
"29","Anthias asperilinguis",230,"Roatan",1,76,"m",1.589285714,1.589285714
"30","Anthias asperilinguis",240,"Curacao",6,41,"m",2.350351807,14.102110842
"31","Anthias asperilinguis",250,"Curacao",2,42,"m",3.051927409,6.103854818
"32","Anthias asperilinguis",270,"Curacao",1,44,"m",3.382094313,3.382094313
"33","Anthias asperilinguis",280,"Roatan",1,81,"m",2.022727273,2.022727273
"34","Anthias asperilinguis",290,"Curacao",2,46,"m",4.077742475,8.15548495
"35","Anthias asperilinguis",360,"Roatan",1,88,"m",8.090909091,8.090909091
"36","Antigonia capros",150,"Curacao",1,32,"m",1.188927353,1.188927353
"37","Antigonia capros",160,"Curacao",4,33,"m",1.212877394,4.851509576
"38","Antigonia capros",170,"Curacao",4,34,"m",1.172632844,4.690531376
"39","Antigonia capros",180,"Curacao",12,35,"m",1.724533239,20.694398868
"40","Antigonia capros",190,"Curacao",2,36,"m",1.643187332,3.286374664
"41","Antigonia capros",200,"Curacao",9,37,"m",1.203301258,10.829711322
"42","Antigonia capros",210,"Curacao",11,38,"m",1.454078712,15.994865832
"43","Antigonia capros",220,"Curacao",16,39,"m",1.136560242,18.184963872
"44","Antigonia capros",220,"St. Eustatius",1,109,"m",5.980952381,5.980952381
"45","Antigonia capros",230,"Curacao",9,40,"m",1.644295347,14.798658123
"46","Antigonia capros",240,"Curacao",2,41,"m",2.350351807,4.700703614
"47","Antigonia capros",250,"Curacao",3,42,"m",3.051927409,9.155782227
"48","Antigonia capros",270,"Curacao",2,44,"m",3.382094313,6.764188626
"49","Antigonia capros",280,"Curacao",2,45,"m",3.295256757,6.590513514
"50","Antigonia capros",290,"Curacao",1,46,"m",4.077742475,4.077742475
"51","Antilligobius nikkiae",60,"Bonaire",10,23,"m",2.016114097,20.16114097
"52","Antilligobius nikkiae",70,"Bonaire",1,24,"m",2.085070543,2.085070543
"53","Antilligobius nikkiae",70,"Roatan",15,60,"m",2.656716418,39.85074627
"54","Antilligobius nikkiae",80,"Bonaire",21,25,"m",1.181725224,24.816229704
"55","Antilligobius nikkiae",80,"Curacao",4,52,"m",1.181725224,4.726900896
"56","Antilligobius nikkiae",80,"Roatan",11,61,"m",2.472222222,27.194444442
"57","Antilligobius nikkiae",90,"Bonaire",101,26,"m",1.187769118,119.964680918
"58","Antilligobius nikkiae",90,"Curacao",65,53,"m",1.187769118,77.20499267
"59","Antilligobius nikkiae",90,"Roatan",231,62,"m",2.966666667,685.300000077
"60","Antilligobius nikkiae",90,"St. Eustatius",9,99,"m",1,9
"61","Antilligobius nikkiae",100,"Bonaire",1,1,"m",1.379236425,1.379236425
"62","Antilligobius nikkiae",100,"Curacao",29,27,"m",1.379236425,39.997856325
"63","Antilligobius nikkiae",100,"Roatan",9,63,"m",1.483333333,13.349999997
