"","species","meters","location","species.fb"
"1","Chrionema squamentum",306,"Bonaire","Chrionema squamentum"
"2","Chrionema squamentum",301,"Bonaire","Chrionema squamentum"
"3","Chrionema squamentum",301,"Bonaire","Chrionema squamentum"
"4","Chrionema squamentum",296,"Bonaire","Chrionema squamentum"
"5","Chrionema squamentum",288,"Bonaire","Chrionema squamentum"
"6","Chrionema squamentum",288,"Bonaire","Chrionema squamentum"
"7","Chrionema squamentum",286,"Bonaire","Chrionema squamentum"
"8","Chrionema squamentum",280,"Bonaire","Chrionema squamentum"
"9","Chrionema squamentum",274,"Bonaire","Chrionema squamentum"
"10","Chrionema squamentum",274,"Bonaire","Chrionema squamentum"
"11","Chrionema squamentum",274,"Bonaire","Chrionema squamentum"
"12","Chrionema squamentum",273,"Bonaire","Chrionema squamentum"
"13","Chrionema squamentum",273,"Bonaire","Chrionema squamentum"
"14","Chrionema squamentum",273,"Bonaire","Chrionema squamentum"
"15","Chrionema squamentum",273,"Bonaire","Chrionema squamentum"
"16","Chrionema squamentum",273,"Bonaire","Chrionema squamentum"
"17","Chrionema squamentum",268,"Bonaire","Chrionema squamentum"
"18","Chrionema squamentum",268,"Bonaire","Chrionema squamentum"
"19","Chrionema squamentum",268,"Bonaire","Chrionema squamentum"
"20","Chrionema squamentum",266,"Bonaire","Chrionema squamentum"
"21","Chrionema squamentum",263,"Bonaire","Chrionema squamentum"
"22","Chrionema squamentum",262,"Bonaire","Chrionema squamentum"
"23","Pontinus castor",252,"Bonaire","Pontinus castor"
"24","Pristipomoides aquilonaris",238,"Bonaire","Pristipomoides aquilonaris"
"25","Bellator egretta",230,"Bonaire","Bellator egretta"
"26","Chrionema squamentum",230,"Bonaire","Chrionema squamentum"
"27","Peristedion brevirostre",226,"Bonaire","Peristedion brevirostre"
"28","Chrionema squamentum",221,"Bonaire","Chrionema squamentum"
"29","Pristipomoides aquilonaris",218,"Bonaire","Pristipomoides aquilonaris"
"30","Serranus notospilus",218,"Bonaire","Serranus notospilus"
"31","Chrionema squamentum",217,"Bonaire","Chrionema squamentum"
"32","Bathyanthias sp.",216,"Bonaire","Bathyanthias mexicanus"
"33","Pristipomoides aquilonaris",216,"Bonaire","Pristipomoides aquilonaris"
"34","Serranus notospilus",215,"Bonaire","Serranus notospilus"
"35","Pristipomoides aquilonaris",214,"Bonaire","Pristipomoides aquilonaris"
"36","Bathyanthias sp.",213,"Bonaire","Bathyanthias mexicanus"
"37","Bathyanthias sp.",213,"Bonaire","Bathyanthias mexicanus"
"38","Bellator brachychir",211,"Bonaire","Bellator brachychir"
"39","Bellator egretta",210,"Bonaire","Bellator egretta"
"40","Chrionema squamentum",210,"Bonaire","Chrionema squamentum"
"41","Chrionema squamentum",210,"Bonaire","Chrionema squamentum"
"42","Synagrops egretta",210,"Bonaire","Synagrops bellus"
"43","Caulolatilus dooleyi",208,"Bonaire","Caulolatilus dooleyi"
"44","Caulolatilus dooleyi",207,"Bonaire","Caulolatilus dooleyi"
"45","Chrionema squamentum",207,"Bonaire","Chrionema squamentum"
"46","Chrionema squamentum",207,"Bonaire","Chrionema squamentum"
"47","Chrionema squamentum",207,"Bonaire","Chrionema squamentum"
"48","Serranus notospilus",205,"Bonaire","Serranus notospilus"
"49","Chrionema squamentum",204,"Bonaire","Chrionema squamentum"
