"","cluster","dband","label","run_num","ord_num"
"1","cl2",40,40,1,1
"2","cl2",50,50,2,1
"3","cl2",60,60,3,1
"4","cl3",70,70,4,4
"5","cl3",80,80,5,4
"6","cl3",90,90,6,4
"7","cl1",100,100,7,7
"8","cl1",110,110,8,7
"9","cl1",120,120,9,7
"10","cl1",130,130,10,7
"11","cl1",140,140,11,7
"12","cl4",150,150,12,12
"13","cl4",160,160,13,12
"14","cl4",170,170,14,12
"15","cl4",180,180,15,12
"16","cl5",190,190,16,16
"17","cl4",200,200,17,12
"18","cl5",210,210,18,16
"19","cl5",220,220,19,16
"20","cl5",230,230,20,16
"21","cl5",240,240,21,16
"22","cl5",250,250,22,16
"23","cl5",260,260,23,16
"24","cl5",270,270,24,16
"25","cl5",280,280,25,16
"26","cl5",290,290,26,16
"27","cl5",300,300,27,16
