depth,COEF
100 m,1.379236425
110 m,1.161185714
120 m,1.127104229
130 m,1.303308391
140 m,1.365335946
150 m,1.188927353
160 m,1.212877394
170 m,1.172632844
180 m,1.724533239
190 m,1.643187332
200 m,1.203301258
210 m,1.454078712
220 m,1.136560242
230 m,1.644295347
240 m,2.350351807
250 m,3.051927409
260 m,2.855374707
270 m,3.382094313
280 m,3.295256757
290 m,4.077742475
300 m,8.196605042
40 m,1.139215137
50 m,0.999995899
60 m,2.016114097
70 m,2.085070543
80 m,1.181725224
90 m,1.187769118
