depth,COEF
10 m,2.225
20 m,1.934782609
30 m,1.034883721
40 m,1.1125
50 m,1.390625
60 m,1.893617021
70 m,2.656716418
80 m,2.472222222
90 m,2.966666667
100 m,1.483333333
110 m,1.934782609
120 m,2.170731707
130 m,2.542857143
140 m,1.893617021
150 m,2.022727273
160 m,1.618181818
170 m,1.022988506
180 m,2.870967742
190 m,1.934782609
200 m,1.369230769
210 m,2.119047619
220 m,1.854166667
230 m,1.589285714
240 m,1.711538462
250 m,1.034883721
260 m,1.126582278
270 m,1
280 m,2.022727273
290 m,1.308823529
300 m,2.617647059
310 m,1.308823529
320 m,5.235294118
330 m,8.090909091
350 m,8.090909091
360 m,8.090909091
390 m,8.090909091
400 m,3.708333333
410 m,3.068965517
420 m,3.178571429
430 m,2.282051282
440 m,3.296296296
450 m,5.933333333
460 m,5.933333333
470 m,5.933333333
480 m,5.933333333
