name,meters,location
Chrionema squamentum,306,Bonaire
Chrionema squamentum,301,Bonaire
Chrionema squamentum,301,Bonaire
Chrionema squamentum,296,Bonaire
Chrionema squamentum,288,Bonaire
Chrionema squamentum,288,Bonaire
Chrionema squamentum,286,Bonaire
Chrionema squamentum,280,Bonaire
Chrionema squamentum,274,Bonaire
Chrionema squamentum,274,Bonaire
Chrionema squamentum,274,Bonaire
Chrionema squamentum,273,Bonaire
Chrionema squamentum,273,Bonaire
Chrionema squamentum,273,Bonaire
Chrionema squamentum,273,Bonaire
Chrionema squamentum,273,Bonaire
Chrionema squamentum,268,Bonaire
Chrionema squamentum,268,Bonaire
Chrionema squamentum,268,Bonaire
Chrionema squamentum,266,Bonaire
Chrionema squamentum,263,Bonaire
Chrionema squamentum,262,Bonaire
Pontinus castor,252,Bonaire
Pristipomoides aquilonaris,238,Bonaire
Bellator egretta,230,Bonaire
Chrionema squamentum,230,Bonaire
Peristedion brevirostre,226,Bonaire
Chrionema squamentum,221,Bonaire
Pristipomoides aquilonaris,218,Bonaire
Serranus notospilus,218,Bonaire
Chrionema squamentum,217,Bonaire
Bathyanthias sp.,216,Bonaire
Pristipomoides aquilonaris,216,Bonaire
Serranus notospilus,215,Bonaire
Pristipomoides aquilonaris,214,Bonaire
Bathyanthias sp.,213,Bonaire
Bathyanthias sp.,213,Bonaire
Bellator brachychir,211,Bonaire
Bellator egretta,210,Bonaire
Chrionema squamentum,210,Bonaire
Chrionema squamentum,210,Bonaire
Synagrops egretta,210,Bonaire
Caulolatilus dooleyi,208,Bonaire
Caulolatilus dooleyi,207,Bonaire
Chrionema squamentum,207,Bonaire
Chrionema squamentum,207,Bonaire
Chrionema squamentum,207,Bonaire
Serranus notospilus,205,Bonaire
Chrionema squamentum,204,Bonaire
Scorpaena brasiliensis,204,Bonaire
Caulolatilus dooleyi,203,Bonaire
Paroncheilus affinis,201,Bonaire
Caulolatilus dooleyi,198,Bonaire
Pristipomoides freemani,197,Bonaire
Caulolatilus dooleyi,195,Bonaire
Gymnothorax ocellatus,194,Bonaire
Caulolatilus dooleyi,191,Bonaire
Chrionema squamentum,189,Bonaire
Gymnothorax ocellatus,189,Bonaire
Bellator egretta,188,Bonaire
Synagrops bellus,188,Bonaire
Chrionema squamentum,187,Bonaire
Gymnothorax ocellatus,187,Bonaire
Bellator egretta,186,Bonaire
Bellator egretta,186,Bonaire
Caulolatilus dooleyi,186,Bonaire
Jeboehlkia gladifer,185,Bonaire
Caulolatilus plumieri,184,Bonaire
Baldwinella vivanus,183,Bonaire
Choranthias tenuis,183,Bonaire
Choranthias tenuis,183,Bonaire
Hemanthias leptus,183,Bonaire
Serranus notospilus,183,Bonaire
Serranus phoebe,183,Bonaire
Bellator egretta,182,Bonaire
Pontinus castor,182,Bonaire
Serranus phoebe,182,Bonaire
Baldwinella vivanus,181,Bonaire
Choranthias tenuis,181,Bonaire
Choranthias tenuis,181,Bonaire
Chrionema squamentum,181,Bonaire
Ostichthys trachypoma,181,Bonaire
Malacanthus plumieri,180,Bonaire
Peristedion brevirostre,180,Bonaire
Pronotogrammus martinicensis,180,Bonaire
Serranus phoebe,180,Bonaire
Fistularia sp.,179,Bonaire
Serranus notospilus,179,Bonaire
Serranus notospilus,179,Bonaire
Serranus notospilus,179,Bonaire
Serranus notospilus,179,Bonaire
Baldwinella vivanus,178,Bonaire
Baldwinella vivanus,178,Bonaire
Bellator egretta,178,Bonaire
Ostichthys trachypoma,178,Bonaire
Ostichthys trachypoma,178,Bonaire
Physiculus fulvus,178,Bonaire
Physiculus fulvus,178,Bonaire
Pronotogrammus martinicensis,178,Bonaire
Pronotogrammus martinicensis,178,Bonaire
Pronotogrammus martinicensis,178,Bonaire
Pronotogrammus martinicensis,178,Bonaire
Pronotogrammus martinicensis,178,Bonaire
Chrionema squamentum,177,Bonaire
Gymnothorax ocellatus,177,Bonaire
Peristedion brevirostre,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Pronotogrammus martinicensis,177,Bonaire
Serranus notospilus,177,Bonaire
Serranus notospilus,177,Bonaire
Serranus phoebe,177,Bonaire
Serranus phoebe,177,Bonaire
Caulolatilus dooleyi,176,Bonaire
Caulolatilus dooleyi,176,Bonaire
Gymnothorax ocellatus,176,Bonaire
Serranus phoebe,176,Bonaire
Serranus phoebe,176,Bonaire
Bellator brachychir,175,Bonaire
Bellator brachychir,175,Bonaire
Hyporthodus niveatus,175,Bonaire
Jeboehlkia gladifer,174,Bonaire
Pronotogrammus martinicensis,174,Bonaire
Serranus notospilus,174,Bonaire
Serranus notospilus,174,Bonaire
