name,meters,location
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Stegastes partitus,41.7576,St. Eustatius
Acanthurus chirurgus,42.0624,St. Eustatius
Bodianus rufus,42.0624,St. Eustatius
Mulloidichthys martinicus,42.0624,St. Eustatius
Paranthias furcifer,42.0624,St. Eustatius
Thalassoma bifasciatum,42.0624,St. Eustatius
Centropyge argi,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
Clepticus parrae,43.5864,St. Eustatius
